Country,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (AA - AC),CREDIT rating,EUROPE,AMERICAS,ASIA,SUBSAHARAN AFRICA,RUSSIA AND EURASIA,MIDDLE EAST AND NORTH AFRICA
Botswana,37.25,42.82,46.38,19.21,36.42,2262000,0.52,11800,131,8,24.8,3.2,14.8,5.4,37.5,10.7,42.9,0,0,27.2,-1,26.2,CC,0,0,0,1,0,0
Brunei,60.78,30.99,100,63.93,63.93,423000,0.81,3400,149,2.4,7.4,7.7,35.7,1.8,12.5,7.7,31,0,0,19.6,0,19.6,C,0,0,1,0,0,0
Bulgaria,40.41,20.54,33.79,30.5,31.31,7176000,0.4,29000,61,13.9,43.1,8.3,38.5,6.3,43.8,17.9,71.4,0,0,46.2,-1,45.2,B,1,0,0,0,0,0
Burkina Faso,59.55,40.77,40.73,25.98,41.76,18106000,0.64,115600,82,15.2,47.4,6.5,30.6,5.4,37.5,10.7,42.9,0,0,37.9,0,37.9,CCC,0,0,0,1,0,0
Burundi,64.08,52.22,51.4,37.17,51.22,11179000,0.64,71400,137,9.5,29.6,3.2,14.8,2.7,18.8,9.5,38.1,0,0,24.9,-1,23.9,CC,0,0,0,1,0,0
Cambodia,53.68,42.96,57.4,12,41.51,15578000,1.65,256800,89,8.1,25.2,7.1,33.3,5.4,37.5,16.1,64.3,0,0,36.7,-1,35.7,CCC,0,0,1,0,0,0
Cameroon,61.31,43.37,47.95,52.51,51.29,23344000,0.63,146100,98,9.8,30.4,7.3,33.9,5.4,37.5,11.9,47.6,0,0,34.3,0,34.3,CCC,0,0,0,1,0,0
Cape Verde,33.33,20.3,55.4,36.34,36.34,521000,0.45,2400,150,4.9,15.2,3.3,15.4,3.6,25,7.7,31,0,0,19.5,0,19.5,C,0,0,0,1,0,0
Central African Republic,83.67,48.67,85.43,62.21,70,4900000,1.13,55400,156,4.8,14.8,3.7,17.2,1.8,12.5,1.8,7.1,0,0,12,-1,11,C,0,0,0,1,0,0
Chad,70.47,49.96,47.98,40.94,52.34,14037000,0.64,89600,121,8.6,26.9,2.6,12,4.5,31.3,13.1,52.4,0,0,28.8,0,28.8,CC,0,0,0,1,0,0
China,55.12,26.9,43.84,52.78,44.66,1371738000,0.25,3388400,107,11.4,35.6,5.1,23.7,4.5,31.3,13.1,52.4,0,0,34.1,-2,32.1,CCC,0,0,1,0,0,0
Croatia,36.51,25.29,36.88,16.54,28.8,4225000,0.4,17100,7,22.4,69.6,15,70.2,8,56.3,19,76.2,0,0,64.5,0,64.5,BBB,1,0,0,0,0,0
Cyprus,27.6,23.25,28.95,30.9,27.67,1165000,0.4,4700,39,17.4,54.3,16,74.4,2.7,18.8,15.5,61.9,0,0,51.5,-1,50.5,BB,1,0,0,0,0,0
Czech Republic,27.22,19.38,31.55,27.78,26.48,10549000,0.4,42600,32,17.6,54.8,10.9,50.7,8,56.3,16.7,66.7,0,0,53.2,0,53.2,BB,1,0,0,0,0,0
Democratic Republic of the Congo,78.42,56.33,56.72,82.43,68.48,77267000,1.13,873100,153,2.5,7.8,2.5,11.7,4.5,31.3,6.5,26.2,0,0,16,-1,15,C,0,0,0,1,0,0
Denmark,15.68,18.53,11.06,23.92,17.3,5660000,0.02,1000,14,19.2,59.8,14.7,68.5,7.1,50,17.3,69,0,0,58.3,0,58.3,BB,1,0,0,0,0,0
Djibouti,49.13,43.61,55.25,32.42,45.1,888000,0.52,4600,96,8,25,6.2,28.9,5.4,37.5,14.9,59.5,0,0,34.5,0,34.5,CCC,0,0,0,1,0,0
Egypt,51.25,27.9,62.96,54.85,49.24,91508000,0.63,572900,79,11.5,35.7,6.9,32,7.1,50,13.1,52.4,0,0,38.6,0,38.6,CCC,0,0,0,0,0,1
Equatorial Guinea,56.66,40.62,46.38,1,36.16,845000,0.29,2500,158,0,0,4,18.5,0,0,6,23.8,0,0,9.9,-1,8.9,D,0,0,0,1,0,0
Eritrea,59.44,51.05,62.88,24.82,49.55,5228000,0.67,35300,159,0,0,0.6,3,0,0,6.5,26.2,0,0,7.2,-2,5.2,D,0,0,0,1,0,0
Estonia,35.94,16.87,39.31,11.14,25.81,1310000,0.4,5300,77,9.7,30.2,5,23.3,4.5,31.3,20.2,81,0,0,39.4,0,39.4,CCC,1,0,0,0,0,0
Ethiopia,59.75,54.68,34.16,59.77,52.09,99391000,0.41,411600,91,6.8,21.3,7.1,33.3,8.9,62.5,13.1,52.4,0,0,36,-1,35,CCC,0,0,0,1,0,0
Finland,22.07,19.69,19.08,22.66,20.87,5485000,0.12,6700,25,17,52.8,13.3,62,8,56.3,16.7,66.7,0,0,55,0,55,BB,1,0,0,0,0,0
France,26.13,20.27,18.01,44.77,27.3,66389000,0.02,12000,20,16.9,52.6,16.5,76.9,6.3,43.8,17.3,69,0,0,56.9,-1,55.9,BB,1,0,0,0,0,0
Gabon,51.58,31.51,42.38,16.97,35.61,1725000,0.29,5100,119,9.6,30,5.2,24.3,3.6,25,11.3,45.2,0,0,29.7,0,29.7,CC,0,0,0,1,0,0
Gambia,59.3,29.27,74.18,22.63,46.35,1991000,0.88,17500,109,7.3,22.6,7.5,35.2,5.4,37.5,11.3,45.2,0,0,31.5,0,31.5,CCC,0,0,0,1,0,0
Georgia,51,28.43,35.95,24.42,34.95,4487000,0.47,20900,18,21.7,67.6,12.6,58.7,8,56.3,14.9,59.5,0,0,57.2,0,57.2,BB,0,0,0,0,1,0
Germany,23.61,19.97,20.81,40.76,26.29,80738000,0.02,14500,13,19.8,61.7,13.9,64.8,6.3,43.8,19.6,78.6,0,0,59.6,0,59.6,BB,1,0,0,0,0,0
Ghana,51.89,38.42,47.45,28.26,41.51,27410000,0.38,103300,125,7.1,22,6.5,30.2,3.6,25,11.3,45.2,0,0,28.4,0,28.4,CC,0,0,0,1,0,0
Greece,37.64,22.74,38.1,38.77,34.31,10942000,0.4,44200,84,17.3,53.9,7.9,36.9,2.7,18.8,9.5,38.1,0,0,37.4,0,37.4,CCC,1,0,0,0,0,0
Guinea,66.89,41.58,52.68,28.67,47.45,12609000,0.64,80500,154,0.9,2.8,2.8,13,4.5,31.3,7.1,28.6,0,0,15.3,-1,14.3,C,0,0,0,1,0,0
Guinea-Bissau,62.08,40.5,70.25,22.47,48.82,1844000,0.62,11400,148,4.8,14.8,6.9,32,3.6,25,5.4,21.4,0,0,20.6,0,20.6,CC,0,0,0,1,0,0
"Hong Kong, SAR China",42.28,17.55,21.44,35.65,29.23,7287000,0.4,29500,157,1.9,5.9,1.1,5.2,0,0,7.7,31,0,0,10.8,0,10.8,C,0,0,1,0,0,0
Hungary,23.66,20.69,35.56,23.3,25.8,9836000,0.23,22500,19,19.2,59.8,9,41.9,9.8,68.8,19,76.2,0,0,57.1,0,57.1,BB,1,0,0,0,0,0
Iceland,24.88,12.22,20.43,15.03,18.14,331000,0.12,400,65,14.6,45.4,11.2,52.2,5.4,37.5,11.3,45.2,0,0,42.4,0,42.4,B,1,0,0,0,0,0
India,37.07,36.68,43.88,87.78,51.35,1311051000,1.4,18354700,73,14.2,44.1,9.6,45,6.3,43.8,11.3,45.2,0,0,41.4,-1,40.4,B,0,0,1,0,0,0
Indonesia,39.15,43.35,50.38,36.01,42.22,257564000,0.29,736100,70,12.1,37.6,8.7,40.6,7.1,50,13.7,54.8,0,0,41.6,-1,40.6,B,0,0,1,0,0,0
Iran,70.71,32.99,48.6,51.44,50.94,79109000,0.63,495300,160,0,0,1.6,7.4,0,0,4.2,16.7,0,0,5.8,-1,4.8,D,0,0,0,0,0,1
Iraq,71.22,44.91,58.04,81.13,63.83,35730000,1.13,403800,0,,,,,,,,,,,,,,,0,0,0,0,0,1
Ireland,19.07,22.62,20.21,33.13,23.76,4659000,0.02,800,22,22.4,69.6,15.3,71.3,2.7,18.8,15.5,61.9,0,0,55.8,0,55.8,BB,1,0,0,0,0,0
Israel,33.66,23.67,38.28,51.85,36.87,8343000,0.14,11600,45,16,49.8,10.3,48,7.1,50,15.5,61.9,0,0,48.9,0,48.9,B,0,0,0,0,0,1
Italy,36.39,21.5,33.62,38.56,32.52,61373000,0.21,129600,42,13.7,42.6,14.1,65.9,5.4,37.5,17.3,69,0,0,50.4,-1,49.4,B,1,0,0,0,0,0
Ivory Coast,62.07,38.72,46.22,33.45,45.11,22702000,0.64,144900,103,12.2,38,6.5,30.2,7.1,50,7.7,31,0,0,33.6,0,33.6,CCC,0,0,0,1,0,0
Japan,25.23,19.09,22.16,19.13,21.4,127046000,0.23,290200,115,13.7,42.6,4.2,19.4,2.7,18.8,11.3,45.2,0,0,31.8,-1,30.8,CCC,0,0,1,0,0,0
Jordan,48.39,27.97,54.16,37.73,42.06,6718000,0.64,42900,66,14.5,45,9,42.2,8,56.3,10.7,42.9,0,0,42.3,0,42.3,B,0,0,0,0,0,1
Kazakhstan,59.05,22.08,28.19,22.12,32.86,17488000,0.47,81600,106,12.3,38.3,9.4,44.1,2.7,18.8,8.9,35.7,0,0,33.4,-1,32.4,CCC,0,0,0,0,1,0
Kenya,54.53,52.84,46.75,72.28,56.6,46050000,0.41,188800,138,7,21.9,5.9,27.4,0.9,6.3,10.7,42.9,0,0,24.5,-1,23.5,CC,0,0,0,1,0,0
Kosovo,55.11,39.25,42.13,15.94,38.11,1845000,0.29,5400,49,16,48.1,12.8,59.9,6.5,43.8,12.3,47.6,0,0,47.7,0,47.7,B,1,0,0,0,0,0
Kuwait,59.29,27.97,41.3,15.89,36.11,3892000,0.47,18200,134,4.8,14.8,7.1,33.3,3.6,25,11.3,45.2,0,0,26.8,-1,25.8,CC,0,0,0,0,0,1
Kyrgyzstan,54.16,28.33,36.37,21.88,35.18,5934000,0.47,27700,104,9,28,7.7,35.7,5.4,37.5,12.5,50,0,0,34.5,-1,33.5,CCC,0,0,0,0,1,0
Laos,56.64,34.01,53.98,1.19,36.45,6802000,0.29,20000,114,9.2,28.7,5.7,26.5,4.5,31.3,12.5,50,0,0,31.9,-1,30.9,CCC,0,0,1,0,0,0
Latvia,41.95,20.25,33.22,12.95,27.09,1979000,0.4,8000,31,18.9,58.9,10.8,50.2,6.3,43.8,17.9,71.4,0,0,53.8,0,53.8,BB,1,0,0,0,0,0
Lebanon,55.39,29.32,50.98,58,48.42,4591000,0.63,28700,99,12.1,37.6,6.9,32,5.4,37.5,10.7,42.9,0,0,35,-1,34,CCC,0,0,0,0,0,1
Lesotho,40.33,52.26,68.23,9.58,42.6,2135000,0.67,14400,87,10.1,31.5,5.5,25.7,7.1,50,14.9,59.5,0,0,37.7,-1,36.7,CCC,0,0,0,1,0,0
Liberia,57.93,44.62,44.45,29.43,44.11,4503000,0.64,28700,116,8.8,27.2,5.9,27.4,4.5,31.3,12.5,50,0,0,31.6,-1,30.6,CCC,0,0,0,1,0,0
Libya,77.85,22.99,81.44,53.21,58.87,6278000,1.13,70900,0,,,,,,,,,,,,,,,0,0,0,0,0,1
Lithuania,35.09,20.58,34.1,16.94,26.68,2920000,0.4,11800,37,19,59.3,11.7,54.8,3.6,25,18.5,73.8,0,0,52.8,-1,51.8,BB,1,0,0,0,0,0
Luxembourg,22.99,18.64,9.76,49.43,25.2,562000,0.02,100,101,10.7,33.1,6.8,31.7,9.8,68.8,6.5,26.2,0,0,33.8,0,33.8,CCC,1,0,0,0,0,0
Macedonia,49.81,24.38,44.06,24.11,35.59,2078000,0.64,13300,24,22.6,70.4,12.9,60.2,8.9,62.5,10.7,42.9,0,0,55.2,0,55.2,BB,1,0,0,0,0,0
Madagascar,50.37,50.87,52.86,15.99,42.52,24235000,0.67,163400,128,10.1,31.3,3.1,14.4,4.5,31.3,10.7,42.9,0,0,28.3,-1,27.3,CC,0,0,0,1,0,0
Malawi,54.63,56.74,47.78,21.06,45.05,17215000,0.67,116100,136,10.4,32.2,4.5,21.1,1.8,12.5,9.5,38.1,0,0,26.2,-1,25.2,CC,0,0,0,1,0,0
Malaysia,34.9,32.43,46.39,40.33,38.51,30331000,0.43,128800,90,11.7,36.5,11,51.5,4.5,31.3,8.9,35.7,0,0,36.2,-1,35.2,CCC,0,0,1,0,0,0
Mali,64.04,34.08,31.69,57.41,46.8,17600000,0.63,110200,144,4.9,15.2,2.6,12,6.3,43.8,8.3,33.3,0,0,22,0,22,CC,0,0,0,1,0,0
Mauritania,65.96,40.54,49.85,30.74,46.77,4068000,1.06,43000,133,8,25,6.9,32.4,1.8,12.5,10.1,40.5,0,0,26.9,-1,25.9,CC,0,0,0,1,0,0
Mauritius,29.24,24.49,26.58,1,20.33,1265000,0.17,2100,113,11.1,34.4,5.9,27.4,2.7,18.8,11.3,45.2,0,0,30.9,0,30.9,CCC,0,0,0,1,0,0
Moldova,47.52,28.2,38.04,14.41,32.04,3538000,0.29,10400,36,17.9,55.6,12.3,57.6,7.1,50,16.1,64.3,0,0,53.4,-1,52.4,BB,0,0,0,0,1,0
Mongolia,39.22,36.74,40.87,3.54,30.09,2959000,0.29,8700,112,8.9,27.8,6.8,31.7,4.5,31.3,11.9,47.6,0,0,32.1,-1,31.1,CCC,0,0,1,0,0,0
Montenegro,41.68,22.15,38.08,23.45,31.34,622000,0.4,2500,15,22.4,69.6,13,60.6,8,56.3,14.9,59.5,0,0,58.3,0,58.3,BB,1,0,0,0,0,0
Morocco,55.83,18.58,56.08,22.18,38.17,34378000,0.64,219700,139,2.1,6.5,5.3,24.6,2.7,18.8,13.1,52.4,0,0,23.1,0,23.1,CC,0,0,0,0,0,1
Mozambique,39.91,48.46,54.4,35.86,44.65,27978000,0.52,145600,69,17.3,53.9,10.8,50.6,1.8,12.5,11.9,47.6,0,0,41.8,-1,40.8,B,0,0,0,1,0,0
Myanmar,57.81,50.11,50.53,66.99,56.36,53897000,0.96,515100,102,13.2,41.1,1.9,8.9,7.1,50,12.5,50,0,0,34.8,-1,33.8,CCC,0,0,1,0,0,0
Namibia,39,43.68,51.42,18.27,38.09,2459000,0.67,16600,110,9,28.1,4.7,22,4.5,31.3,13.1,52.4,0,0,31.3,0,31.3,CCC,0,0,0,1,0,0
Nepal,42.3,43.22,34.74,41.21,40.37,28514000,0.82,234600,54,13.8,42.8,8.2,38.1,10.7,75,15.5,61.9,0,0,48.1,-1,47.1,B,0,0,1,0,0,0
Netherlands,17.6,17.86,21.64,28.58,21.42,16896000,0.1,17500,1,24,74.6,16.9,79.1,12.5,87.5,25,100,0,0,78.4,0,78.4,A,1,0,0,0,0,0
New Zealand,13.31,22.24,16.09,21.51,18.29,4552000,0.02,800,21,17.3,53.7,10.3,48,6.3,43.8,22,88.1,0,0,55.8,0,55.8,BB,0,0,1,0,0,0
Niger,57.7,48.17,42.13,40.38,47.1,19899000,0.64,127000,141,4,12.4,6.3,29.3,3.6,25,10.1,40.5,0,0,23.9,-1,22.9,CC,0,0,0,1,0,0
Nigeria,60.94,47.84,59.76,80.84,62.34,182202000,0.48,875500,51,16.3,50.7,12.8,59.6,7.1,50,11.3,45.2,0,0,47.5,0,47.5,B,0,0,0,1,0,0
North Korea,71.2,48.27,62.88,1,45.84,25155000,4.37,1100000,161,0,0,-3,-13.9,0,0,-1.8,-7.1,0,0,-4.8,-1,-5.8,D,0,0,1,0,0,0
Norway,17.88,19.9,14.85,34.9,21.88,5188000,0.02,900,10,21.2,65.9,17.7,82.4,5.4,37.5,17.3,69,0,0,61.5,0,61.5,BBB,1,0,0,0,0,0
Oman,57.65,21.03,62.88,12.6,38.54,4491000,0.29,13200,117,11.6,36.1,6.3,29.3,1.8,12.5,11.9,47.6,0,0,31.6,-1,30.6,CCC,0,0,0,0,0,1
Pakistan,58.4,41.98,52.7,96.79,62.47,188925000,1.13,2134900,78,9.2,28.5,7.9,37,3.6,25,19,76.2,0,0,39.7,-1,38.7,CCC,0,0,1,0,0,0
Papua New Guinea,50.12,62.85,100,23.1,59.02,7619000,0.62,47200,155,2.1,6.5,5.1,23.7,3.6,25,3.6,14.3,0,0,14.3,-1,13.3,C,0,0,1,0,0,0
Philippines,44.76,39.62,52.34,53.95,47.67,100699000,0.4,401000,29,14.9,46.5,13.5,62.8,7.1,50,19.6,78.6,0,0,55.2,-1,54.2,BB,0,0,1,0,0,0
Poland,34.76,19.5,29.07,23.33,26.66,38025000,0.48,181100,30,14.8,46.1,10.3,48,9.8,68.8,19,76.2,0,0,54,0,54,BB,1,0,0,0,0,0
Portugal,21.5,22.62,16.06,16.89,19.27,10384000,0.12,12800,6,18.8,58.5,15.8,73.5,9.8,68.8,20.8,83.3,0,0,65.2,0,65.2,BBB,1,0,0,0,0,0
Qatar,48.79,15.26,50.5,12.3,31.71,2235000,1.36,30300,83,16.8,52.4,9.5,44.3,3.6,25,8.9,35.7,0,0,38.8,-1,37.8,CCC,0,0,0,0,0,1
Republic of the Congo,65.17,44.69,52.43,28.94,47.81,4620000,0.64,29500,142,7.1,22.2,1.9,8.9,5.4,37.5,8.9,35.7,0,0,23.3,-1,22.3,CC,0,0,0,1,0,0
Romania,39.26,25.86,31.83,18.74,28.92,19849000,0.4,80200,72,12.1,37.6,7.9,36.9,8,56.3,12.5,50,0,0,40.5,0,40.5,B,1,0,0,0,0,0
Russia,57.21,18.47,40.66,57.47,43.45,143335000,0.73,1048500,126,6.9,21.5,6.1,28.3,1.8,12.5,15.5,61.9,0,0,30.2,-2,28.2,CC,0,0,0,0,1,0
Rwanda,55.44,47.65,46.23,42,47.83,11610000,0.64,74100,86,9.9,30.9,9.7,45.2,4.5,31.3,13.7,54.8,0,0,37.8,-1,36.8,CCC,0,0,0,1,0,0
Saudi Arabia,64.94,30.92,37.2,28.84,40.47,31540000,0.29,92100,123,9.2,28.7,7.4,34.4,3.6,25,9.5,38.1,0,0,29.7,-1,28.7,CC,0,0,0,0,0,1
Senegal,44.97,42.31,36.96,35.48,39.93,15129000,0.52,78700,74,16,49.6,7,32.6,3.6,25,13.7,54.8,0,0,40.2,0,40.2,B,0,0,0,1,0,0
Serbia,47.8,21.75,30.24,27.05,31.71,7087000,0.4,28700,27,19.8,61.7,16.4,76.7,4.5,31.3,13.7,54.8,0,0,54.4,0,54.4,BB,1,0,0,0,0,0
Sierra Leone,50.57,53.29,41.72,17.7,40.82,6453000,0.67,43500,64,14.3,44.4,9.8,45.6,6.3,43.8,13.7,54.8,0,0,44,-1,43,B,0,0,0,1,0,0
Singapore,29.85,22.11,20.58,1,18.39,5563000,0.17,9200,129,11.6,36.1,4.8,22.4,0,0,10.7,42.9,0,0,27.1,0,27.1,CC,0,0,1,0,0,0
Slovakia,32.47,20.94,31.6,16.42,25.36,5426000,0.23,12400,50,18.6,58,9.1,42.4,4.5,31.3,15.5,61.9,0,0,47.7,0,47.7,B,1,0,0,0,0,0
Slovenia,21.82,22.08,28.5,13.72,21.53,2066000,0.23,4700,26,16.7,52,11,51.3,8,56.3,19,76.2,0,0,54.8,0,54.8,BB,1,0,0,0,0,0
Somalia,73.03,64.82,55.97,74.46,67.07,10787000,1.13,121900,0,,,,,,,,,,,,,,,0,0,0,1,0,0
South Africa,40.27,43.06,58.3,41.84,45.87,54954000,0.45,248700,63,12.5,38.9,11.9,55.7,4.5,31.3,16.1,64.3,0,0,45,-1,44,B,0,0,0,1,0,0
South Korea,38.2,34.64,28.98,17.32,29.78,50672000,0.4,204900,124,11.5,35.9,6.8,31.9,1.8,12.5,8.3,33.3,0,0,28.5,0,28.5,CC,0,0,1,0,0,0
South Sudan,74.73,50.7,60.8,76.15,65.59,12340000,1.13,139400,152,6.5,20.4,0.3,1.5,2.7,18.8,7.1,28.6,0,0,16.7,-1,15.7,C,0,0,0,1,0,0
Spain,25.14,23.19,18.65,29.67,24.16,46513000,0.02,8400,8,24.8,77,13.7,64.1,7.1,50,18.5,73.8,0,0,64.1,0,64.1,BBB,1,0,0,0,0,0
Sri Lanka,47.01,35.12,31.82,31.08,36.26,20781000,0.22,45900,67,8.3,25.9,8.3,38.5,5.4,37.5,20.8,83.3,0,0,42.8,-1,41.8,B,0,0,1,0,0,0
Sudan,80.64,54.12,46.18,85.04,66.49,40235000,1.13,454700,145,7.7,24.1,5.9,27.4,0.9,6.3,8.3,33.3,0,0,22.8,-1,21.8,CC,0,0,0,1,0,0
Swaziland,57.69,53.88,67.33,15.39,48.57,1287000,0.67,8700,118,11.7,36.3,4.7,22,5.4,37.5,10.7,42.9,0,0,32.5,-2,30.5,CCC,0,0,0,1,0,0
Sweden,21.39,19.7,10.84,38.6,22.63,9754000,0.02,1800,4,23.2,72.2,13.5,63,10.7,75,18.5,73.8,0,0,65.9,0,65.9,BBB,1,0,0,0,0,0
Switzerland,16.93,16.6,13.69,30.98,19.55,8267000,0.02,1500,23,19.3,60.2,13.9,64.8,3.6,25,18.5,73.8,0,0,55.3,0,55.3,BB,1,0,0,0,0,0
Syria,95.67,35.93,60.97,72.98,66.39,22769000,1.13,257300,0,,,,,,,,,,,,,,,0,0,0,0,0,1
Taiwan,34.91,33.38,22.34,1.76,23.1,23476640,0.23,53600,76,16.8,50.6,5.1,23.6,6.5,43.8,11.1,42.9,0,0,39.5,0,39.5,CCC,0,0,1,0,0,0
Tajikistan,62.85,37.62,41.68,27.53,42.42,8482000,0.64,54100,88,13.5,42,7.4,34.4,3.6,25,13.7,54.8,0,0,38.1,-2,36.1,CCC,0,0,0,0,1,0
Tanzania,51.66,54.67,47.66,40.46,48.61,53470000,0.64,341400,120,8.7,27,5.7,26.5,3.6,25,11.9,47.6,0,0,29.8,-1,28.8,CC,0,0,0,1,0,0
Thailand,49.23,28.62,48.97,63.33,47.54,67959000,0.63,425500,68,11.3,35.2,7.7,35.9,8,56.3,15.5,61.9,0,0,42.5,-1,41.5,B,0,0,1,0,0,0
Timor-Leste,38.88,48.07,68.55,1,39.13,1235000,0.29,3500,140,8.3,25.9,5.6,25.9,0,0,10.1,40.5,0,0,24,-1,23,CC,0,0,1,0,0,0
Togo,64.78,39.82,47.78,24.09,44.12,7305000,0.64,46600,151,8.5,26.5,1,4.6,4.5,31.3,4.8,19,0,0,18.7,0,18.7,C,0,0,0,1,0,0
Tunisia,40.01,25.97,42.84,28.91,34.43,11102000,0.77,85000,95,11.6,36.1,4.8,22.2,2.7,18.8,15.5,61.9,0,0,34.5,0,34.5,CCC,0,0,0,0,0,1
Turkey,45.47,29.38,44.11,57.55,44.13,76721000,0.63,480300,55,18.5,57.4,10.2,47.4,5.4,37.5,13.1,52.4,0,0,47.1,0,47.1,B,1,0,0,0,0,0
Turkmenistan,68.14,28.65,43.34,9.22,37.34,5374000,0.29,15800,132,4.8,14.8,7.7,35.7,1.8,12.5,13.7,54.8,0,0,27.9,-2,25.9,CC,0,0,0,0,1,0
Uganda,54.89,52.18,39.45,48.73,48.81,39032000,0.63,244400,52,16.4,50.9,10.8,50.2,5.4,37.5,14.9,59.5,0,0,47.4,0,47.4,B,0,0,0,1,0,0
Ukraine,61.97,21.39,35.8,43.41,40.64,45064000,0.47,210400,57,19.9,62,10.2,47.8,1.8,12.5,15.5,61.9,0,0,47.4,-1,46.4,B,0,0,0,0,1,0
United Arab Emirates,41.71,22.64,30.75,18.36,28.37,9157000,0.4,37000,40,20.5,63.9,7.9,36.7,8,56.3,14.3,57.1,0,0,50.7,-1,49.7,B,0,0,0,0,0,1
United Kingdom,18.45,20.37,21.83,46.5,26.79,64856000,0.02,11700,3,24,74.6,16.9,79.1,6.3,43.8,17.3,69,2.7,37.5,67.1,0,67.1,BBB,1,0,0,0,0,0
