Country,Year,LFPR,Type_LFPR
Angola,2021,75.83,Female
Angola,2021,78.884,Male
Angola,2021,77.327,Total
Angola,2022,73.801,Female
Angola,2022,78.606,Male
Angola,2022,76.156,Total
Argentina,1991,53.03,Female
Argentina,1991,80.084,Male
Argentina,1991,66.457,Total
Argentina,1992,54.385,Female
Argentina,1992,80.465,Male
Argentina,1992,67.34,Total
Argentina,1993,55.813,Female
Argentina,1993,80.827,Male
Argentina,1993,68.248,Total
Argentina,1994,56.79,Female
Argentina,1994,81.081,Male
Argentina,1994,68.875,Total
Argentina,1995,55.995,Female
Argentina,1995,80.962,Male
Argentina,1995,68.425,Total
Argentina,1996,56.916,Female
Argentina,1996,81.185,Male
Argentina,1996,69.004,Total
Argentina,1997,58.351,Female
Argentina,1997,81.479,Male
Argentina,1997,69.875,Total
Argentina,1998,58.963,Female
Argentina,1998,81.584,Male
Argentina,1998,70.238,Total
Argentina,1999,58.089,Female
Argentina,1999,81.383,Male
Argentina,1999,69.703,Total
Argentina,2000,57.783,Female
Argentina,2000,81.269,Male
Argentina,2000,69.497,Total
Argentina,2001,56.717,Female
Argentina,2001,80.978,Male
Argentina,2001,68.823,Total
Argentina,2002,54.213,Female
Argentina,2002,80.339,Male
Argentina,2002,67.255,Total
Argentina,2003,55.856,Female
Argentina,2003,80.599,Male
Argentina,2003,68.213,Total
Argentina,2004,57.542,Female
Argentina,2004,80.858,Male
Argentina,2004,69.193,Total
Argentina,2005,56.35,Female
Argentina,2005,80.709,Male
Argentina,2005,68.53,Total
Argentina,2006,57.155,Female
Argentina,2006,80.647,Male
Argentina,2006,68.908,Total
Argentina,2007,56.426,Female
Argentina,2007,80.292,Male
Argentina,2007,68.372,Total
Argentina,2008,55.678,Female
Argentina,2008,79.926,Male
Argentina,2008,67.822,Total
Argentina,2009,56.418,Female
Argentina,2009,79.878,Male
Argentina,2009,68.175,Total
Argentina,2010,55.28,Female
Argentina,2010,79.901,Male
Argentina,2010,67.626,Total
Argentina,2011,55.663,Female
Argentina,2011,80.682,Male
Argentina,2011,68.216,Total
Argentina,2012,56.02,Female
Argentina,2012,80.157,Male
Argentina,2012,68.137,Total
Argentina,2013,55.638,Female
Argentina,2013,79.728,Male
Argentina,2013,67.737,Total
Argentina,2014,55.284,Female
Argentina,2014,78.603,Male
Argentina,2014,67.001,Total
Argentina,2015,55.38,Female
Argentina,2015,78.124,Male
Argentina,2015,66.813,Total
Argentina,2016,55.471,Female
Argentina,2016,77.636,Male
Argentina,2016,66.619,Total
Argentina,2017,55.559,Female
Argentina,2017,77.151,Male
Argentina,2017,66.423,Total
Argentina,2018,57.444,Female
Argentina,2018,77.194,Male
Argentina,2018,67.385,Total
Argentina,2019,58.341,Female
Argentina,2019,77.683,Male
Argentina,2019,68.081,Total
Argentina,2020,54.472,Female
Argentina,2020,72.711,Male
Argentina,2020,63.66,Total
Argentina,2021,59.216,Female
Argentina,2021,78.033,Male
Argentina,2021,68.699,Total
Argentina,2022,58.9,Female
Argentina,2022,77.767,Male
Argentina,2022,68.413,Total
Armenia,1991,64.004,Female
Armenia,1991,76.481,Male
Armenia,1991,70.042,Total
Armenia,1992,64.095,Female
Armenia,1992,76.579,Male
Armenia,1992,70.114,Total
Armenia,1993,64.13,Female
Armenia,1993,76.663,Male
Armenia,1993,70.13,Total
Armenia,1994,64.122,Female
Armenia,1994,76.739,Male
Armenia,1994,70.128,Total
Armenia,1995,64.094,Female
Armenia,1995,76.791,Male
Armenia,1995,70.113,Total
Armenia,1996,64.07,Female
Armenia,1996,76.774,Male
Armenia,1996,70.075,Total
Armenia,1997,64.075,Female
Armenia,1997,76.753,Male
Armenia,1997,70.051,Total
Armenia,1998,64.082,Female
Armenia,1998,76.736,Male
Armenia,1998,70.03,Total
Armenia,1999,64.045,Female
Armenia,1999,76.64,Male
Armenia,1999,69.95,Total
Armenia,2000,63.971,Female
Armenia,2000,76.493,Male
Armenia,2000,69.826,Total
Armenia,2001,63.885,Female
Armenia,2001,76.339,Male
Armenia,2001,69.695,Total
Armenia,2002,63.768,Female
Armenia,2002,76.129,Male
Armenia,2002,69.522,Total
Armenia,2003,63.645,Female
Armenia,2003,75.894,Male
Armenia,2003,69.335,Total
Armenia,2004,63.535,Female
Armenia,2004,75.687,Male
Armenia,2004,69.168,Total
Armenia,2005,63.421,Female
Armenia,2005,75.487,Male
Armenia,2005,69.003,Total
Armenia,2006,63.314,Female
Armenia,2006,75.297,Male
Armenia,2006,68.845,Total
Armenia,2007,63.228,Female
Armenia,2007,75.123,Male
Armenia,2007,68.706,Total
Armenia,2008,63.022,Female
Armenia,2008,74.756,Male
Armenia,2008,68.412,Total
Armenia,2009,63.591,Female
Armenia,2009,75.486,Male
Armenia,2009,69.04,Total
Armenia,2010,63.682,Female
Armenia,2010,75.569,Male
Armenia,2010,69.111,Total
Armenia,2011,63.768,Female
Armenia,2011,75.59,Male
Armenia,2011,69.154,Total
Armenia,2012,63.867,Female
Armenia,2012,75.581,Male
Armenia,2012,69.192,Total
Armenia,2013,64.093,Female
Armenia,2013,75.781,Male
Armenia,2013,69.395,Total
Armenia,2014,64.364,Female
Armenia,2014,76.009,Male
Armenia,2014,69.636,Total
Armenia,2015,64.711,Female
Armenia,2015,76.335,Male
Armenia,2015,69.964,Total
Armenia,2016,65.092,Female
Armenia,2016,76.799,Male
Armenia,2016,70.371,Total
Armenia,2017,65.529,Female
Armenia,2017,77.072,Male
Armenia,2017,70.725,Total
Armenia,2018,65.924,Female
Armenia,2018,77.339,Male
Armenia,2018,71.053,Total
Armenia,2019,68.622,Female
Armenia,2019,77.976,Male
Armenia,2019,72.818,Total
Armenia,2020,69.189,Female
Armenia,2020,76.265,Male
Armenia,2020,72.361,Total
Armenia,2021,70.141,Female
Armenia,2021,77.385,Male
Armenia,2021,73.386,Total
Armenia,2022,68.552,Female
Armenia,2022,77.849,Male
Armenia,2022,72.719,Total
Australia,1991,61.591,Female
Australia,1991,83.995,Male
Australia,1991,72.915,Total
Australia,1992,61.734,Female
Australia,1992,83.569,Male
Australia,1992,72.761,Total
Australia,1993,61.605,Female
Australia,1993,83.231,Male
Australia,1993,72.521,Total
Australia,1994,62.747,Female
Australia,1994,83.345,Male
Australia,1994,73.138,Total
Australia,1995,63.99,Female
Australia,1995,83.666,Male
Australia,1995,73.909,Total
Australia,1996,64.268,Female
Australia,1996,83.546,Male
Australia,1996,73.977,Total
Australia,1997,64.022,Female
Australia,1997,82.923,Male
Australia,1997,73.531,Total
Australia,1998,64.104,Female
Australia,1998,82.711,Male
Australia,1998,73.454,Total
Australia,1999,64.11,Female
Australia,1999,82.322,Male
Australia,1999,73.254,Total
Australia,2000,65.194,Female
Australia,2000,82.171,Male
Australia,2000,73.71,Total
Australia,2001,65.862,Female
Australia,2001,82.009,Male
Australia,2001,73.956,Total
Australia,2002,66.102,Female
Australia,2002,81.977,Male
Australia,2002,74.057,Total
Australia,2003,66.983,Female
Australia,2003,81.807,Male
Australia,2003,74.41,Total
Australia,2004,66.699,Female
Australia,2004,81.864,Male
Australia,2004,74.296,Total
Australia,2005,68.168,Female
Australia,2005,82.475,Male
Australia,2005,75.335,Total
Australia,2006,68.881,Female
Australia,2006,82.632,Male
Australia,2006,75.77,Total
Australia,2007,69.428,Female
Australia,2007,82.848,Male
Australia,2007,76.155,Total
Australia,2008,69.95,Female
Australia,2008,82.957,Male
Australia,2008,76.474,Total
Australia,2009,70.167,Female
Australia,2009,82.544,Male
Australia,2009,76.377,Total
Australia,2010,69.97,Female
Australia,2010,82.812,Male
Australia,2010,76.411,Total
Australia,2011,70.448,Female
Australia,2011,82.755,Male
Australia,2011,76.616,Total
Australia,2012,70.379,Female
Australia,2012,82.391,Male
Australia,2012,76.394,Total
Australia,2013,70.448,Female
Australia,2013,82.304,Male
Australia,2013,76.379,Total
Australia,2014,70.535,Female
Australia,2014,82.036,Male
Australia,2014,76.28,Total
Australia,2015,71.238,Female
Australia,2015,82.61,Male
Australia,2015,76.909,Total
Australia,2016,71.62,Female
Australia,2016,82.239,Male
Australia,2016,76.908,Total
Australia,2017,72.354,Female
Australia,2017,82.537,Male
Australia,2017,77.422,Total
Australia,2018,73.229,Female
Australia,2018,82.799,Male
Australia,2018,77.991,Total
Australia,2019,73.85,Female
Australia,2019,83.06,Male
Australia,2019,78.435,Total
Australia,2020,73.23,Female
Australia,2020,82.198,Male
Australia,2020,77.697,Total
Australia,2021,74.756,Female
Australia,2021,82.904,Male
Australia,2021,78.818,Total
Australia,2022,75.299,Female
Australia,2022,83.762,Male
Australia,2022,79.521,Total
Austria,1991,55.979,Female
Austria,1991,79.896,Male
Austria,1991,67.959,Total
Austria,1992,57.604,Female
Austria,1992,79.998,Male
Austria,1992,68.839,Total
Austria,1993,58.208,Female
Austria,1993,79.676,Male
Austria,1993,68.986,Total
Austria,1994,61.895,Female
Austria,1994,80.705,Male
Austria,1994,71.342,Total
Austria,1995,62.935,Female
Austria,1995,80.864,Male
Austria,1995,71.937,Total
Austria,1996,62.321,Female
Austria,1996,80.426,Male
Austria,1996,71.406,Total
Austria,1997,62.212,Female
Austria,1997,79.913,Male
Austria,1997,71.087,Total
Austria,1998,62.936,Female
Austria,1998,80.231,Male
Austria,1998,71.602,Total
Austria,1999,63.142,Female
Austria,1999,80.485,Male
Austria,1999,71.829,Total
Austria,2000,62.934,Female
Austria,2000,79.894,Male
Austria,2000,71.427,Total
Austria,2001,62.762,Female
Austria,2001,78.908,Male
Austria,2001,70.849,Total
Austria,2002,64.268,Female
Austria,2002,79.14,Male
Austria,2002,71.719,Total
Austria,2003,64.423,Female
Austria,2003,79.534,Male
Austria,2003,71.992,Total
Austria,2004,64.524,Female
Austria,2004,77.359,Male
Austria,2004,70.951,Total
Austria,2005,65.796,Female
Austria,2005,77.645,Male
Austria,2005,71.731,Total
Austria,2006,66.895,Female
Austria,2006,78.449,Male
Austria,2006,72.682,Total
Austria,2007,67.987,Female
Austria,2007,79.548,Male
Austria,2007,73.776,Total
Austria,2008,68.745,Female
Austria,2008,79.676,Male
Austria,2008,74.216,Total
Austria,2009,69.674,Female
Austria,2009,79.604,Male
Austria,2009,74.642,Total
Austria,2010,69.776,Female
Austria,2010,79.574,Male
Austria,2010,74.676,Total
Austria,2011,70.208,Female
Austria,2011,79.506,Male
Austria,2011,74.857,Total
Austria,2012,70.977,Female
Austria,2012,79.863,Male
Austria,2012,75.421,Total
Austria,2013,71.552,Female
Austria,2013,80.062,Male
Austria,2013,75.81,Total
Austria,2014,71.722,Female
Austria,2014,79.641,Male
Austria,2014,75.689,Total
Austria,2015,71.799,Female
Austria,2015,79.749,Male
Austria,2015,75.793,Total
Austria,2016,72.614,Female
Austria,2016,80.453,Male
Austria,2016,76.561,Total
Austria,2017,72.76,Female
Austria,2017,80.602,Male
Austria,2017,76.709,Total
Austria,2018,72.929,Female
Austria,2018,81.276,Male
Austria,2018,77.132,Total
Austria,2019,73.302,Female
Austria,2019,81.424,Male
Austria,2019,77.392,Total
Austria,2020,73.281,Female
Austria,2020,80.728,Male
Austria,2020,77.032,Total
Austria,2021,73.743,Female
Austria,2021,81.747,Male
Austria,2021,77.776,Total
Austria,2022,74.674,Female
Austria,2022,82.205,Male
Austria,2022,78.469,Total
Azerbaijan,1991,71.934,Female
Azerbaijan,1991,81.767,Male
Azerbaijan,1991,76.639,Total
Azerbaijan,1992,73.62,Female
Azerbaijan,1992,83.72,Male
Azerbaijan,1992,78.45,Total
Azerbaijan,1993,75.792,Female
Azerbaijan,1993,85.798,Male
Azerbaijan,1993,80.575,Total
Azerbaijan,1994,77.95,Female
Azerbaijan,1994,87.56,Male
Azerbaijan,1994,82.542,Total
Azerbaijan,1995,79.391,Female
Azerbaijan,1995,88.603,Male
Azerbaijan,1995,83.786,Total
Azerbaijan,1996,79.539,Female
Azerbaijan,1996,88.674,Male
Azerbaijan,1996,83.889,Total
Azerbaijan,1997,79.319,Female
Azerbaijan,1997,88.412,Male
Azerbaijan,1997,83.639,Total
Azerbaijan,1998,78.819,Female
Azerbaijan,1998,87.86,Male
Azerbaijan,1998,83.104,Total
Azerbaijan,1999,78.56,Female
Azerbaijan,1999,87.398,Male
Azerbaijan,1999,82.744,Total
Azerbaijan,2000,77.981,Female
Azerbaijan,2000,86.663,Male
Azerbaijan,2000,82.096,Total
Azerbaijan,2001,76.324,Female
Azerbaijan,2001,83.98,Male
Azerbaijan,2001,79.96,Total
Azerbaijan,2002,74.849,Female
Azerbaijan,2002,81.318,Male
Azerbaijan,2002,77.927,Total
Azerbaijan,2003,72.389,Female
Azerbaijan,2003,79.738,Male
Azerbaijan,2003,75.893,Total
Azerbaijan,2004,70.316,Female
Azerbaijan,2004,77.066,Male
Azerbaijan,2004,73.544,Total
Azerbaijan,2005,68.819,Female
Azerbaijan,2005,75.206,Male
Azerbaijan,2005,71.882,Total
Azerbaijan,2006,66.788,Female
Azerbaijan,2006,73.682,Male
Azerbaijan,2006,70.102,Total
Azerbaijan,2007,61.452,Female
Azerbaijan,2007,72.464,Male
Azerbaijan,2007,66.758,Total
Azerbaijan,2008,60.828,Female
Azerbaijan,2008,70.228,Male
Azerbaijan,2008,65.368,Total
Azerbaijan,2009,62.701,Female
Azerbaijan,2009,68.288,Male
Azerbaijan,2009,65.403,Total
Azerbaijan,2010,64.609,Female
Azerbaijan,2010,65.701,Male
Azerbaijan,2010,65.138,Total
Azerbaijan,2011,62.95,Female
Azerbaijan,2011,67.968,Male
Azerbaijan,2011,65.379,Total
Azerbaijan,2012,64.026,Female
Azerbaijan,2012,67.749,Male
Azerbaijan,2012,65.83,Total
Azerbaijan,2013,64.215,Female
Azerbaijan,2013,68.347,Male
Azerbaijan,2013,66.218,Total
Azerbaijan,2014,65.269,Female
Azerbaijan,2014,69.275,Male
Azerbaijan,2014,67.212,Total
Azerbaijan,2015,66.065,Female
Azerbaijan,2015,69.92,Male
Azerbaijan,2015,67.937,Total
Azerbaijan,2016,67.336,Female
Azerbaijan,2016,71.448,Male
Azerbaijan,2016,69.334,Total
Azerbaijan,2017,68.071,Female
Azerbaijan,2017,72.225,Male
Azerbaijan,2017,70.091,Total
Azerbaijan,2018,68.915,Female
Azerbaijan,2018,72.788,Male
Azerbaijan,2018,70.8,Total
Azerbaijan,2019,72.186,Female
Azerbaijan,2019,76.163,Male
Azerbaijan,2019,74.124,Total
Azerbaijan,2020,71.284,Female
Azerbaijan,2020,75.423,Male
Azerbaijan,2020,73.303,Total
Azerbaijan,2021,72.56,Female
Azerbaijan,2021,76.122,Male
Azerbaijan,2021,74.299,Total
Azerbaijan,2022,74.64,Female
Azerbaijan,2022,78.626,Male
Azerbaijan,2022,76.589,Total
"Bahamas, The",1991,69.374,Female
"Bahamas, The",1991,82.872,Male
"Bahamas, The",1991,76.001,Total
"Bahamas, The",1992,69.957,Female
"Bahamas, The",1992,83.695,Male
"Bahamas, The",1992,76.695,Total
"Bahamas, The",1993,70.542,Female
"Bahamas, The",1993,84.464,Male
"Bahamas, The",1993,77.366,Total
"Bahamas, The",1994,71.103,Female
"Bahamas, The",1994,85.191,Male
"Bahamas, The",1994,78.005,Total
"Bahamas, The",1995,71.562,Female
"Bahamas, The",1995,85.238,Male
"Bahamas, The",1995,78.259,Total
"Bahamas, The",1996,71.941,Female
"Bahamas, The",1996,85.276,Male
"Bahamas, The",1996,78.468,Total
"Bahamas, The",1997,72.691,Female
"Bahamas, The",1997,85.175,Male
"Bahamas, The",1997,78.799,Total
"Bahamas, The",1998,72.032,Female
"Bahamas, The",1998,85.583,Male
"Bahamas, The",1998,78.655,Total
"Bahamas, The",1999,73.385,Female
"Bahamas, The",1999,85.246,Male
"Bahamas, The",1999,79.178,Total
"Bahamas, The",2000,73.771,Female
"Bahamas, The",2000,85.208,Male
"Bahamas, The",2000,79.351,Total
"Bahamas, The",2001,74.003,Female
"Bahamas, The",2001,85.226,Male
"Bahamas, The",2001,79.472,Total
"Bahamas, The",2002,74.187,Female
"Bahamas, The",2002,85.26,Male
"Bahamas, The",2002,79.576,Total
"Bahamas, The",2003,73.841,Female
"Bahamas, The",2003,85.461,Male
"Bahamas, The",2003,79.492,Total
"Bahamas, The",2004,73.724,Female
"Bahamas, The",2004,85.547,Male
"Bahamas, The",2004,79.471,Total
"Bahamas, The",2005,73.934,Female
"Bahamas, The",2005,85.539,Male
"Bahamas, The",2005,79.573,Total
"Bahamas, The",2006,74.08,Female
"Bahamas, The",2006,85.574,Male
