Country ,Population ,Region,"Est. prevalence of population in modern slavery (victims per 1,000 population)",Est. number of people in modern slavery,Factor One Governance Issues ,Factor Two Nourishment and Access ,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%,Coordination,%,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%,Supply chains,%,SUM/104,SUM Neg,TOTAL,Credit rating
Botswana,2209000,Africa,3.4,8000,43.3,37.9,37.3,37.6,9.7,42.1,2.9,32.2,2.7,45.6,1.5,37.5,-1,0,3.2,45.2,0,0,10.3,-1,33.2,CCC
Brazil,205962000,Americas,1.8,369000,43.1,13.6,56.2,19.8,24,36.4,3.5,38.9,2.9,47.8,3.5,87.5,0,0,5.2,73.8,0.5,26.7,15.6,0,55.6,BB
Brunei Darussalam,418000,Asia and the Pacific,10.9,5000,53.5,30.9,31.7,41.2,18.2,47.2,1.6,17.8,1.2,19.4,0,0,0,0,3,42.9,0,0,5.8,0,20.6,CC
Bulgaria,7177000,Europe and Central Asia,4.5,32000,33,14.7,43.3,44.1,17.4,31.3,5.4,59.8,3,49.4,2.3,56.3,0,0,4.7,66.7,0.4,18.3,15.6,0,55.8,BB
Burkina Faso,18111000,Africa,4.5,82000,58.4,31.6,40.3,35.2,26.2,53.1,3.4,38.1,1.8,30,1.8,43.8,0,0,3,42.9,0,0,10,0,35.7,CCC
Burundi,10199000,Africa,40,408000,72.4,42.6,42.1,48.1,41.7,72.9,2,22.2,0.7,11.1,0.5,12.5,-1,-1,1.8,26.2,0,0,5,-2,10.7,C
Cambodia,15518000,Asia and the Pacific,16.8,261000,66.3,38.5,41.6,56.7,14.8,63.5,3.6,40.4,2.8,46.7,1.8,43.8,0,0,2.3,33.3,0,0,10.5,0,37.6,CCC
Cameroon,22835000,Africa,6.9,157000,65.9,36.5,46.2,46.3,53.9,69.6,2.4,26.7,1.5,24.4,0.8,18.8,-1,0,3.5,50,0,0,8.1,-1,25.4,CC
Canada,35950000,Americas,0.5,17000,16.6,20.7,20.1,9.2,21.5,10.2,4.7,52.4,4.4,72.8,3,75,0,0,4.3,61.9,0,0,16.4,0,58.6,BB
Cape Verde,533000,Africa,4.1,2000,48.7,19.7,44.1,44.1,22.1,44.5,2.1,23.5,1,16.1,1,25,0,0,2.3,33.3,0,0,6.4,0,22.9,CC
Central African Republic,4546000,Africa,22.3,101000,85.4,50.2,62.7,58,81.6,100,-0.3,-3.7,0,0.6,0.5,12.5,-1,0,1.5,21.4,0,0,1.7,-1,2.5,D
Chad,14009000,Africa,12,168000,71.8,43.2,48.5,46.5,46.1,74.9,1.5,16.7,0.8,13.9,0.5,12.5,-1,0,2.8,40.5,0,0,5.7,-1,16.7,C
Chile,17763000,Americas,0.8,14000,28.5,13.8,50,23.5,20.3,25.6,6.9,76.5,3.2,53.9,2,50,0,0,5.3,76.2,0,0,17.5,0,62.3,BBB
China,1397029000,Asia and the Pacific,2.8,3864000,61.4,20.5,26.9,32.4,44.2,50.6,2.1,23.5,1.8,29.4,1.8,43.8,-1,-1,3.7,52.4,0.4,18.3,9.7,-2,27.4,CC
Colombia,48229000,Americas,2.7,131000,45.7,19.2,56.4,32.6,63.5,51.6,3.6,40.4,2.5,42.2,2.5,62.5,-1,-1,4.8,69,0,0,13.5,-2,41.1,B
Congo,4996000,Africa,8,40000,75.1,37.6,48.5,46.1,19.6,69.2,0.8,8.3,0.4,6.7,1,25,-1,0,3,42.9,0,0,5.2,-1,14.8,C
"Congo, Democratic Republic of the",76197000,Africa,13.7,1045000,77.2,50.8,55.6,46.5,86.7,91.7,2.3,25.9,1.5,24.4,1.5,37.5,-1,0,1,14.3,0,0,6.3,-1,18.9,C
Costa Rica,4808000,Americas,1.3,6000,35.2,16.7,40.7,29.4,12.2,28.4,4.8,53.7,2.5,41.7,2.5,62.5,0,0,4.2,59.5,0,0,14,0,50,BB
C�te d'Ivoire,23108000,Africa,5.9,137000,59.5,30.1,41.7,37.5,40.9,57.2,3.1,34.4,2.2,36.7,1.8,43.8,0,0,4.7,66.7,0.2,8.3,11.9,0,42.4,B
Croatia,4236000,Europe and Central Asia,6,25000,35.7,20.2,34.1,48.3,12.2,32.7,6.9,77,4.7,78.3,2.3,56.3,0,0,4.8,69,0.4,18.3,19.1,0,68.2,BBB
Cuba,11461000,Americas,3.8,43000,60.2,25.9,37.6,47.8,17.3,52.4,1.2,13,0.9,15,0.8,18.8,0,0,3,42.9,0,0,5.8,0,20.8,CC
Cyprus,1161000,Europe and Central Asia,4.2,5000,24.5,16.7,32.6,29.7,10.1,19.1,6.1,68.1,4.7,77.8,2.3,56.3,0,0,4.3,61.9,0.4,18.3,17.8,0,63.4,BBB
Czech Republic,10604000,Europe and Central Asia,2.9,31000,25.1,13.9,21,37.1,18.2,19.1,4.2,47,3.3,54.4,3.3,81.3,0,0,3.5,50,0.6,28.3,14.8,0,52.9,BB
Denmark,5689000,Europe and Central Asia,1.6,9000,8.7,15.3,13.8,15.2,12.5,1,5.6,62.6,3.4,56.1,2,50,0,0,4.8,69,0.6,28.3,16.4,0,58.6,BB
Djibouti,927000,Africa,7.1,7000,66.8,38,33.9,48.1,21.3,61.2,2.7,30.4,2.6,42.8,1.3,31.3,0,0,3.3,47.6,0,0,9.9,0,35.3,CCC
Dominica,,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,10528000,Americas,4,42000,42.5,28.7,46.1,38.8,21.8,43.1,6.2,69.1,4.7,78.3,1.5,37.5,-1,0,4.8,69,0,0,17.3,-1,58,BB
Ecuador,16144000,Americas,2.4,39000,46,23,46.4,29.1,23,41.3,5.5,61.1,3.3,55.6,1.5,37.5,-1,0,3.7,52.4,0,0,14,-1,46.4,B
Egypt,93778000,Africa,5.5,518000,61.6,18.4,44.2,52.8,51.1,60.4,3.4,37.6,1.8,30.6,2.5,62.5,0,-1,4.5,64.3,0,0,12.2,-1,40.1,B
El Salvador,6312000,Americas,2.5,16000,50.5,23,59.8,43.6,22.7,50.7,2.9,31.7,2.4,39.4,1.8,43.8,-1,0,4.5,64.3,0,0,11.5,-1,37.4,CCC
Equatorial Guinea,1175000,Africa,6.4,7000,68.4,40.8,36.7,48.5,10.1,61.7,0.3,3.7,0.7,12.2,0.5,12.5,-1,0,1.8,26.2,0,0,3.4,-1,8.6,D
Eritrea,4847000,Africa,93,451000,71,50.6,33.7,48.1,25.9,69.6,0,0,-0.1,-1.1,0,0,-1,-1,1.5,21.4,0,0,1.4,-2,-2,D
Estonia,1315000,Europe and Central Asia,3.6,5000,35.2,13.7,27.4,52.2,12.4,29.2,3.7,41.3,2.2,36.1,1.8,43.8,0,0,5.7,81,0.4,18.3,13.7,0,48.8,B
Ethiopia,99873000,Africa,6.1,614000,62.4,47.5,27.3,34.6,55.3,64.5,2.5,27.8,3.1,51.1,2.3,56.3,-1,0,3.3,47.6,0,0,11.2,-1,36.3,CCC
Fiji,892000,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5482000,Europe and Central Asia,1.7,9000,18.6,16,15,17.8,11.2,8.2,4.8,53.7,3,49.4,3.3,81.3,0,0,5,71.4,0.2,8.3,16.2,0,57.9,BB
France,64457000,Europe and Central Asia,2,129000,17.3,15.4,29.4,21.2,28.5,15.3,3.8,42.4,4.3,71.7,3.8,93.8,0,0,5,71.4,0.4,18.3,17.2,0,61.5,BBB
Gabon,1930000,Africa,4.8,9000,56.5,27.1,36.6,47.5,12.4,49.1,2.5,27.8,0.7,11.7,1.3,31.3,0,0,2.3,33.3,0,0,6.8,0,24.2,CC
Gambia,1978000,Africa,5.8,11000,66.8,28.1,41.8,44.1,20.8,58.4,2.3,25,2.9,48.3,1.5,37.5,0,0,2.8,40.5,0,0,9.5,0,33.9,CCC
Georgia,3952000,Europe and Central Asia,4.3,17000,41.5,19.3,33.9,43.9,31.4,39.2,6.7,74.1,3.8,63.9,2.3,56.3,0,0,4.8,69,0,0,17.6,0,62.8,BBB
Germany,81708000,Europe and Central Asia,2,167000,15.9,15,22.8,15.7,24.7,10.4,5.6,61.7,3.5,57.8,2.3,56.3,0,0,4,57.1,0.7,36.7,16,0,57.1,BB
Ghana,27583000,Africa,4.8,133000,52.6,29.1,42,53.7,21.6,52.2,2.2,24.8,2,33.3,1.5,37.5,-1,0,2.8,40.5,0.2,8.3,8.7,-1,27.6,CC
Greece,11218000,Europe and Central Asia,7.9,89000,38.5,14.4,36.4,56,23.6,37.1,6.2,68.5,4,66.1,1.8,43.8,0,0,3.2,45.2,0.4,18.3,15.4,0,55.1,BB
Grenada,107000,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,16252000,Americas,2.9,47000,51,25.8,58.1,40.9,27.4,52.1,3.8,42.2,1.5,25.6,2.5,62.5,0,0,4.8,69,0,0,12.7,0,45.2,B
Guinea,12092000,Africa,7.8,94000,68.3,32.4,54.7,46.4,28.6,66.3,0.8,8.7,0.6,10.6,1.5,37.5,-1,0,3.5,50,0,0,6.4,-1,19.3,C
Guinea-Bissau,1771000,Africa,7.5,13000,77.8,40.1,47.6,44.1,17.1,70.5,0.7,7.4,1.9,31.1,1.3,31.3,0,0,1.5,21.4,0,0,5.3,0,18.9,C
Guyana,769000,Americas,2.6,2000,49.5,25.6,60.4,28.1,12.4,45.4,3,33.1,2.7,44.4,1,25,-1,0,3.2,45.2,0,0,9.8,-1,31.5,CCC
Haiti,10711000,Americas,5.6,59000,62.4,49.7,54.1,56.8,20.1,69.6,4.5,49.6,2.6,42.8,0.8,18.8,0,0,3.3,47.6,0,0,11.1,0,39.7,CCC
Honduras,8961000,Americas,3.4,30000,55.5,26.5,58.9,36.5,32.7,55.5,2.5,27.6,1.5,25.6,2.5,62.5,0,0,3.8,54.8,0,0,10.4,0,37,CCC
"Hong Kong, China",7246000,Asia and the Pacific,1.4,10000,39.3,9.6,24.7,28.4,15,24.7,2.7,30.2,0.6,10,0.5,12.5,0,0,2.2,31,0,0,6,0,21.4,CC
Hungary,9784000,Europe and Central Asia,3.7,36000,23.9,14.8,32.9,48.3,15.5,23.6,5.8,64.8,2.8,47.2,2.3,56.3,0,0,5,71.4,0.4,18.3,16.3,0,58.2,BB
Iceland,330000,Europe and Central Asia,2.1,"<1,000",20.6,11.7,21.1,4.1,1.8,4.2,4.4,48.7,3.3,54.4,1.5,37.5,0,0,3.7,52.4,0.2,8.3,13,0,46.4,B
India,1309054000,Asia and the Pacific,6.1,7989000,46.2,29.8,32.4,41.1,80,55.5,4.2,46.3,3.2,53.3,2.3,56.3,0,0,3.2,45.2,0,0,12.8,0,45.7,B
Indonesia,258162000,Asia and the Pacific,4.7,1220000,43.7,38,35.8,53.3,32.2,50.5,4.3,47.8,3.6,60,2,50,0,0,4.3,61.9,0,0,14.2,0,50.8,BB
"Iran, Islamic Republic of",79360000,Asia and the Pacific,16.2,1289000,74.6,25.5,35.8,37.3,39.5,63.3,0.7,7.4,0.6,9.4,0,0,-1,0,1.7,23.8,0,0,2.9,-1,6.8,D
Iraq,36116000,Arab States,4.8,174000,72.6,34.9,65.2,46.6,89.4,85.7,,,,,,,,,,,,,,,,
Ireland,4700000,Europe and Central Asia,1.7,8000,17.2,17,24.3,10.9,20.1,10.4,5.9,65.9,2.5,42.2,2.5,62.5,0,0,4.8,69,0.4,18.3,16.2,0,57.7,BB
Israel,8065000,Europe and Central Asia,3.9,31000,35.8,19.1,27.5,48.5,38.6,36.4,5.2,57.2,3.4,56.1,1.8,43.8,0,0,4.3,61.9,0,0,14.6,0,52.1,BB
Italy,59504000,Europe and Central Asia,2.4,145000,31.7,14.4,45.4,31,19.3,28.3,5.3,58.3,4.7,78.9,2,50,-1,0,5.8,83.3,0.5,26.7,18.4,-1,62,BBB
Jamaica,2872000,Americas,2.6,7000,39.5,24.2,62.2,47.8,15.5,44.2,4.6,50.6,4.4,72.8,3,75,0,0,4.5,64.3,0,0,16.4,0,58.6,BB
Japan,127975000,Asia and the Pacific,0.3,37000,21.5,13.1,15.5,31.9,17.8,13.8,3.9,43.5,2.7,44.4,1.5,37.5,-1,0,3.2,45.2,0,0,11.3,-1,36.6,CCC
Jordan,9159000,Arab States,1.8,17000,57.9,15.7,41.8,47.4,26.2,49.9,4.3,48.1,2.6,42.8,1.3,31.3,0,0,2.7,38.1,0,0,10.8,0,38.6,CCC
Kazakhstan,17750000,Europe and Central Asia,4.2,75000,60.4,14.5,25.1,38.2,19.5,43.3,3.9,42.8,3,50,1.5,37.5,-1,0,1.8,26.2,0,0,10.2,-1,32.8,CCC
Kenya,47236000,Africa,6.9,328000,55.1,48.7,49.6,44.5,66.8,70.6,3.2,35.7,2.3,38.9,1.5,37.5,-1,0,4.2,59.5,0,0,11.2,-1,36.5,CCC
Kiribati,112000,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Democratic People's Republic of",25244000,Asia and the Pacific,104.6,2640000,87.6,52,30.3,32.4,12.3,73.3,0,0,-0.4,-6.7,0.5,12.5,-1,-1,0.3,4.8,0,0,0.4,-2,-5.6,D
"Korea, Republic of",50594000,Asia and the Pacific,1.9,99000,33.9,29.4,25.7,33.8,13.4,29.8,3.2,35.9,1.7,27.8,0.5,12.5,0,0,2.3,33.3,0,0,7.7,0,27.6,CC
Kosovo,1905000,Europe and Central Asia,4,8000,53.1,16,39.3,49.7,12,43.8,6,66.7,3.1,62.7,1.5,37.5,0,0,4.2,59.5,0,0,14.8,0,54.8,BB
Kuwait,3936000,Arab States,1.5,6000,59.7,20.1,29.3,29.3,28.5,45.9,2.6,28.7,2,33.9,1,25,-1,0,3.2,45.2,0,0,8.8,-1,27.8,CC
Kyrgyzstan,5865000,Europe and Central Asia,4.1,24000,49.6,19.7,35.4,42.6,23.2,42.8,3,33,2.9,48.3,2.3,56.3,-1,0,4.3,61.9,0,0,12.5,-1,40.9,B
Lao People's Democratic Republic,6664000,Asia and the Pacific,9.4,62000,70.7,35.1,26.4,41.2,13.9,57.5,3.5,38.9,2.2,36.7,2,50,-1,0,2.8,40.5,0,0,10.5,-1,34,CCC
Latvia,1993000,Europe and Central Asia,3.9,8000,31.7,15.9,23.8,44,10.3,24.6,4.2,47,3.7,61.7,3.8,93.8,0,0,5,71.4,0.4,18.3,17.1,0,60.9,BBB
Lebanon,5851000,Arab States,1.7,10000,59.1,22.6,48.1,44.8,47.8,58.9,3.1,33.9,1.8,30,1.3,31.3,0,0,2.7,38.1,0,0,8.8,0,31.3,CCC
Lesotho,2175000,Africa,4.2,9000,53.8,50.7,44.6,41.9,18.6,58.3,3.2,35.9,2.2,37.2,2.3,56.3,0,0,3,42.9,0,0,10.7,0,38.3,CCC
Liberia,4500000,Africa,7.4,33000,55,44,44.1,54.9,18.2,59.3,2.5,28,1.6,26.7,1.3,31.3,0,0,3.5,50,0,0,8.9,0,31.7,CCC
Libya,6235000,Africa,7.7,48000,81.4,23,49.6,28.1,63.1,73.1,0,0,1.3,21.7,0,0,-1,-1,0,0,0,0,1.3,-2,-2.5,D
Lithuania,2932000,Europe and Central Asia,5.8,17000,29.2,15.4,35.6,46.3,9.7,26.2,4.2,46.3,3.8,62.8,2.8,68.8,0,0,5.5,78.6,0.4,18.3,16.6,0,59.1,BB
Luxembourg,567000,Europe and Central Asia,1.5,"<1,000",17.7,13.7,24.5,12.1,14.3,8.4,4.3,47.4,2,33.9,2.8,68.8,0,0,3.5,50,0.2,8.3,12.7,0,45.4,B
"Macedonia, the former Yugoslav Republic of",2079000,Europe and Central Asia,8.7,18000,48.4,17.4,42.5,50.6,27.3,45.6,6.3,70.4,4,67.2,3,75,0,0,4.3,61.9,0,0,17.7,0,63.2,BBB
Madagascar,24234000,Africa,7.5,182000,54.4,46.8,51,56.8,17.3,62,3.5,38.7,3.2,52.8,0.8,18.8,-1,-1,3.5,50,0,0,10.9,-2,31.8,CCC
Malawi,17574000,Africa,7.5,131000,55.4,51.5,40.9,61.5,19.1,63.4,3,33.1,1.4,23.9,1.8,43.8,-1,0,2.3,33.3,0,0,8.5,-1,26.8,CC
Malaysia,30723000,Asia and the Pacific,6.9,212000,36.2,28.4,39.6,41.2,27.8,39.2,3.6,40,3.2,53.9,2.3,56.3,-1,0,2.7,38.1,0,0,11.8,-1,38.4,CCC
Mali,17468000,Africa,3.6,62000,55.3,24.4,35.5,35.9,66.3,55.9,3.5,38.9,2.1,35.6,2,50,0,-1,2,28.6,0,0,9.6,-1,30.8,CCC
Malta,428000,Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,4182000,Africa,21.4,90000,67.3,33.7,39.3,50.5,22.3,62,0.6,6.5,1.5,25,0.8,18.8,-1,0,2.5,35.7,0,0,5.3,-1,15.5,C
Mauritius,1259000,Africa,1,1000,25.5,17.7,33.6,31.1,12.2,21.2,3.9,43.7,2.3,38.9,0,0,0,0,3.5,50,0,0,9.8,0,34.9,CCC
Mexico,125891000,Americas,2.7,341000,47.3,23.7,59,37.8,68.8,57.3,4.8,53.7,3.8,62.8,2.3,56.3,-1,0,4.8,69,0,0,15.7,-1,52.4,BB
"Moldova, Republic of",4066000,Europe and Central Asia,5.5,22000,42,22.9,35.3,58.3,18.1,41.6,5.3,58.5,3.7,61.1,2.5,62.5,0,0,4.2,59.5,0,0,15.6,0,55.7,BB
Mongolia,2977000,Asia and the Pacific,12.3,37000,40.9,36.8,35.1,47.1,18.1,43.5,2.5,27.8,2,33.3,1.3,31.3,0,-1,3.8,54.8,0,0,9.6,-1,30.7,CCC
Montenegro,628000,Europe and Central Asia,5.9,4000,39.4,15,37.4,50.9,18.3,35.8,7.1,79.3,4.2,70,2.3,56.3,0,0,4.3,61.9,0,0,17.9,0,64,BBB
Morocco,34803000,Africa,2.4,85000,60.7,18.8,38.1,35.7,22,48.3,0.6,6.5,3.4,56.7,1.3,31.3,0,0,5,71.4,0,0,10.2,0,36.5,CCC
Mozambique,28011000,Africa,5.4,152000,48.6,48.3,40.5,48.1,30,57,5.2,57.6,3,49.4,1.3,31.3,-1,0,3,42.9,0,0,12.4,-1,40.7,B
Myanmar,52404000,Asia and the Pacific,11,575000,58.1,43.8,26.1,46,70.2,65.9,5.2,58,1.1,18.3,1.8,43.8,-1,-1,3,42.9,0,0,11.1,-2,32.4,CCC
Namibia,2426000,Africa,3.3,8000,44.6,38.4,55.9,38.8,10.4,48.1,3.1,34.1,1.7,27.8,0.8,18.8,0,0,3.8,54.8,0,0,9.3,0,33.3,CCC
Nauru,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,28656000,Asia and the Pacific,6,171000,52,35.6,32.2,8.7,34.7,44.1,3.2,35.2,2.5,41.7,2,50,-1,0,4.2,59.5,0,0,11.8,-1,38.7,CCC
Netherlands,16938000,Europe and Central Asia,1.8,30000,12.8,13.6,26,16,12.2,6.1,6.5,72.2,4.3,72.2,3,75,0,0,6.5,92.9,0.7,36.7,21.1,0,75.2,A
New Zealand,4615000,Asia and the Pacific,0.6,3000,12.2,18.4,16.2,7,7,1.9,4.8,53.7,2.9,47.8,1.8,43.8,0,0,6.7,95.2,0,0,16.1,0,57.6,BB
Nicaragua,6082000,Americas,2.9,18000,48.2,24.5,43.3,35.3,22.8,43.9,3.1,34.4,4.2,70,1,25,0,0,4.7,66.7,0,0,13,0,46.3,B
Niger,19897000,Africa,6.7,133000,61.9,41.2,37,45,50.4,65.6,2.6,29.1,2.1,35.6,1,25,-1,0,2.5,35.7,0,0,8.3,-1,25.9,CC
Nigeria,181182000,Africa,7.7,1386000,54.1,41.3,50.2,47.1,95.5,74.1,5.3,58.9,3.2,53.3,2,50,-1,0,3.3,47.6,0,0,13.8,-1,45.8,B
Norway,5200000,Europe and Central Asia,1.8,9000,15.7,17.8,13.1,9.4,10.8,4.5,6.1,68.1,5,82.8,2.3,56.3,0,0,5.2,73.8,0.2,10,18.7,0,66.8,BBB
Oman,4200000,Arab States,2.1,9000,68.7,20.5,37.8,33.4,6.4,50.1,2.9,32.4,1.4,22.8,0.5,12.5,0,0,4.2,59.5,0,0,9,0,32,CCC
Pakistan,189381000,Asia and the Pacific,16.8,3186000,56.8,36.2,45.9,55.3,92.8,74.1,1.9,21.5,0.9,15.6,0.5,12.5,-1,0,2.8,40.5,0,0,6.2,-1,18.6,C
Palau,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Panama,3969000,Americas,2.1,8000,44.2,21,42.6,33.1,9.4,36.4,2.9,32.6,3.6,60,1.3,31.3,-1,0,5.5,78.6,0,0,13.3,-1,43.9,B
Papua New Guinea,7920000,Asia and the Pacific,10.3,81000,64.8,63.3,46.2,9.5,13.3,61.9,2.4,26.5,1.8,30.6,0.3,6.3,-1,0,1.8,26.2,0,0,6.3,-1,18.9,C
Paraguay,6639000,Americas,1.6,11000,38.3,21,64.7,32.7,22.7,40.9,2.4,26.1,3.4,56.7,1.5,37.5,-1,0,5,71.4,0.2,10,12.5,-1,40.9,B
Peru,31377000,Americas,2.6,80000,44.3,24.7,48,38.2,27.5,44.3,6.8,75.9,2.5,42.2,2.5,62.5,-1,0,3.8,54.8,0,0,15.7,-1,52.5,BB
Philippines,101716000,Asia and the Pacific,7.7,784000,50.5,35.3,45.7,36.4,69.3,60.2,4.6,51.5,4.2,69.4,2,50,0,0,4.8,69,0,0,15.6,0,55.8,BB
Poland,38265000,Europe and Central Asia,3.4,128000,24.5,13.7,27.5,59.6,13.6,24.4,4.8,53.3,2.5,42.2,2.8,68.8,0,0,4.8,69,0.2,8.3,15.1,0,53.9,BB
Portugal,10418000,Europe and Central Asia,2.5,26000,12.2,15.6,31.7,20.7,9.7,8.5,5.6,62.6,4.2,69.4,2.8,68.8,0,0,5.8,83.3,0.2,8.3,18.6,0,66.3,BBB
Qatar,2482000,Arab States,1.5,4000,56.3,13.8,29.5,33.4,7,37.7,4.8,53,1.9,31.7,1.3,31.3,-1,0,3,42.9,0,0,10.9,-1,35.4,CCC
Romania,19877000,Europe and Central Asia,4.3,86000,35.8,19.5,32.6,52,16.1,33.9,4.8,53.3,3.1,52.2,2,50,-1,0,3,42.9,0.4,18.3,13.3,-1,43.9,B
Russian Federation,143888000,Europe and Central Asia,5.5,794000,59.3,13.5,38.6,34.1,51.9,51.6,1.5,17,1.9,32.2,1.5,37.5,-1,-1,2.8,40.5,0,0,7.8,-2,20.7,CC
Rwanda,11630000,Africa,11.6,134000,56.6,40.8,40,55.7,34,61.7,3.3,36.9,2.5,41.7,1.8,43.8,-1,-1,3.8,54.8,0,0,11.4,-2,33.6,CCC
Saint Kitts and Nevis,,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,177000,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,109000,Americas,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,194000,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,31557000,Arab States,1.9,61000,63.2,21.9,30.1,14.2,32.2,46.3,2.9,32.4,2.6,42.8,1.5,37.5,-1,0,1.8,26.2,0,0,8.8,-1,27.9,CC
Senegal,14977000,Africa,2.9,43000,43.9,34.8,35.6,41,30.9,46.2,4.5,49.6,2.6,43.9,2.3,56.3,0,0,3.8,54.8,0,0,13.2,0,47.1,B
Serbia,8851000,Europe and Central Asia,3.3,30000,39.1,15.2,31.6,40.9,27.5,33.9,5.8,63.9,4.5,75,2.3,56.3,0,0,4.8,69,0,0,17.3,0,61.9,BBB
Seychelles,94000,Africa,,,,,,,,,,,,,,,,,,,,,,,,
