prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,lfpr_female,lfpr_male,lfpr_total,country,population,region,corruption_score,democracy_score,gdp_per_capita,migration_rate,year
2.0,23000,20.0,15.0,29.9,19.3,12.3,13.1,6.5,3.2,3.5,5.2,0.7,68.3,65.29,73.072,69.21,Belgium,11288000.0,Europe and Central Asia,75.0,7.78,51113.48,55439.0,2018
5.5,58000,51.1,28.8,39.9,35.3,15.8,45.0,2.8,1.9,2.3,3.7,0.0,37.7,57.135,69.516,63.309,Benin,10576000.0,Africa,40.0,5.74,3040.1672,3368.0,2018
3.4,12000,52.0,16.4,31.7,50.7,34.1,46.4,5.4,2.9,1.0,5.3,0.0,48.6,43.678,68.37,56.084,Bosnia and Herzegovina,3536000.0,Europe and Central Asia,38.0,4.98,14267.606,-29154.0,2018
3.4,8000,43.3,37.9,37.3,37.6,9.7,42.1,2.9,2.7,1.5,3.2,0.0,33.2,60.251,70.391,65.226,Botswana,2209000.0,Africa,61.0,7.81,14961.831,3819.0,2018
1.8,369000,43.1,13.6,56.2,19.8,24.0,36.4,3.5,2.9,3.5,5.2,0.5,55.6,60.774,80.194,70.367,Brazil,205962000.0,Americas,35.0,6.97,14619.591,67934.0,2018
4.5,32000,33.0,14.7,43.3,44.1,17.4,31.3,5.4,3.0,2.3,4.7,0.4,55.8,67.609,76.074,71.9,Bulgaria,7177000.0,Europe and Central Asia,42.0,7.03,22196.02,-12115.0,2018
4.5,82000,58.4,31.6,40.3,35.2,26.2,53.1,3.4,1.8,1.8,3.0,0.0,35.7,59.249,74.4,66.729,Burkina Faso,18111000.0,Africa,41.0,4.75,2051.2185,-23971.0,2018
40.0,408000,72.4,42.6,42.1,48.1,41.7,72.9,2.0,0.7,0.5,1.8,0.0,10.7,81.008,79.523,80.275,Burundi,10199000.0,Africa,17.0,2.33,740.44824,68145.0,2018
16.8,261000,66.3,38.5,41.6,56.7,14.8,63.5,3.6,2.8,1.8,2.3,0.0,37.6,72.136,83.726,77.871,Cambodia,15518000.0,Asia and the Pacific,20.0,3.59,4217.6216,-51685.0,2018
6.9,157000,65.9,36.5,46.2,46.3,53.9,69.6,2.4,1.5,0.8,3.5,0.0,25.4,67.833,77.31,72.545,Cameroon,22835000.0,Africa,25.0,3.28,3732.5012,-9185.0,2018
0.5,17000,16.6,20.7,20.1,9.2,21.5,10.2,4.7,4.4,3.0,4.3,0.0,58.6,75.492,81.685,78.607,Canada,35950000.0,Americas,81.0,9.15,48946.246,417974.0,2018
4.1,2000,48.7,19.7,44.1,44.1,22.1,44.5,2.1,1.0,1.0,2.3,0.0,22.9,59.592,77.553,69.035,Cape Verde,533000.0,Africa,37.5,7.88,7314.3013,-2010.5,2018
22.3,101000,85.4,50.2,62.7,58.0,81.6,100.0,-0.3,0.0,0.5,1.5,0.0,2.5,63.742,77.691,70.662,Central African Republic,4546000.0,Africa,26.0,1.52,854.64746,-53083.0,2018
12.0,168000,71.8,43.2,48.5,46.5,46.1,74.9,1.5,0.8,0.5,2.8,0.0,16.7,48.681,71.4,60.01,Chad,14009000.0,Africa,19.0,1.61,1563.544,46664.0,2018
0.8,14000,28.5,13.8,50.0,23.5,20.3,25.6,6.9,3.2,2.0,5.3,0.0,62.3,56.224,75.966,66.127,Chile,17763000.0,Americas,67.0,7.97,25071.99,237358.0,2018
2.8,3864000,61.4,20.5,26.9,32.4,44.2,50.6,2.1,1.8,1.8,3.7,0.4,27.4,69.992,80.707,75.495,China,1397029000.0,Asia and the Pacific,39.0,3.32,15133.996,-296674.0,2018
2.7,131000,45.7,19.2,56.4,32.6,63.5,51.6,3.6,2.5,2.5,4.8,0.0,41.1,58.049,81.803,69.783,Colombia,48229000.0,Americas,36.0,6.96,14426.435,494364.0,2018
1.3,6000,35.2,16.7,40.7,29.4,12.2,28.4,4.8,2.5,2.5,4.2,0.0,50.0,54.191,81.199,67.774,Costa Rica,4808000.0,Americas,56.0,8.07,20503.277,4198.0,2018
6.0,25000,35.7,20.2,34.1,48.3,12.2,32.7,6.9,4.7,2.3,4.8,0.4,68.2,62.001,70.861,66.473,Croatia,4236000.0,Europe and Central Asia,48.0,6.57,28288.168,-13171.0,2018
3.8,43000,60.2,25.9,37.6,47.8,17.3,52.4,1.2,0.9,0.8,3.0,0.0,20.8,51.649,82.372,67.063,Cuba,11461000.0,Americas,47.0,3.0,14209.593,-14219.0,2018
4.2,5000,24.5,16.7,32.6,29.7,10.1,19.1,6.1,4.7,2.3,4.3,0.4,63.4,68.696,77.121,72.962,Cyprus,1161000.0,Europe and Central Asia,59.0,7.59,39977.312,4977.0,2018
1.6,9000,8.7,15.3,13.8,15.2,12.5,1.0,5.6,3.4,2.0,4.8,0.6,58.6,75.279,81.061,78.196,Denmark,5689000.0,Europe and Central Asia,88.0,9.22,56178.773,23337.0,2018
7.1,7000,66.8,38.0,33.9,48.1,21.3,61.2,2.7,2.6,1.3,3.3,0.0,35.3,19.078,48.143,33.483,Djibouti,927000.0,Africa,31.0,2.87,4589.3784,1435.0,2018
4.0,42000,42.5,28.7,46.1,38.8,21.8,43.1,6.2,4.7,1.5,4.8,0.0,58.0,54.163,80.678,67.522,Dominican Republic,10528000.0,Americas,30.0,6.54,17484.121,-29944.0,2018
2.4,39000,46.0,23.0,46.4,29.1,23.0,41.3,5.5,3.3,1.5,3.7,0.0,46.4,57.445,81.602,69.538,Ecuador,16144000.0,Americas,34.0,6.27,11608.419,153372.0,2018
5.5,518000,61.6,18.4,44.2,52.8,51.1,60.4,3.4,1.8,2.5,4.5,0.0,40.1,59.592,77.553,69.035,Egypt,93778000.0,Africa,35.0,3.36,11363.318,-2010.5,2018
2.5,16000,50.5,23.0,59.8,43.6,22.7,50.7,2.9,2.4,1.8,4.5,0.0,37.4,48.43,78.032,62.299,El Salvador,6312000.0,Americas,35.0,5.96,8812.925,-54158.0,2018
6.4,7000,68.4,40.8,36.7,48.5,10.1,61.7,0.3,0.7,0.5,1.8,0.0,8.6,52.917,60.597,57.133,Equatorial Guinea,1175000.0,Africa,16.0,1.92,17764.969,15583.0,2018
93.0,451000,71.0,50.6,33.7,48.1,25.9,69.6,0.0,-0.1,0.0,1.5,0.0,-2.0,73.99,86.882,80.282,Eritrea,4847000.0,Africa,24.0,2.37,14209.593,-21435.0,2018
3.6,5000,35.2,13.7,27.4,52.2,12.4,29.2,3.7,2.2,1.8,5.7,0.4,48.8,75.518,82.375,78.947,Estonia,1315000.0,Europe and Central Asia,73.0,7.97,34979.867,7229.0,2018
6.1,614000,62.4,47.5,27.3,34.6,55.3,64.5,2.5,3.1,2.3,3.3,0.0,36.3,76.873,87.826,82.352,Ethiopia,99873000.0,Africa,34.0,3.35,2067.4565,9309.0,2018
1.7,9000,18.6,16.0,15.0,17.8,11.2,8.2,4.8,3.0,3.3,5.0,0.2,57.9,76.256,79.256,77.779,Finland,5482000.0,Europe and Central Asia,85.0,9.14,48048.523,11646.0,2018
2.0,129000,17.3,15.4,29.4,21.2,28.5,15.3,3.8,4.3,3.8,5.0,0.4,61.5,69.229,76.005,72.568,France,64457000.0,Europe and Central Asia,72.0,7.8,45245.96,14391.0,2018
4.8,9000,56.5,27.1,36.6,47.5,12.4,49.1,2.5,0.7,1.3,2.3,0.0,24.2,41.175,59.042,50.426,Gabon,1930000.0,Africa,31.0,3.61,14254.462,2893.0,2018
5.8,11000,66.8,28.1,41.8,44.1,20.8,58.4,2.3,2.9,1.5,2.8,0.0,33.9,59.592,77.553,69.035,Gambia,1978000.0,Africa,37.0,4.31,2012.5908,-2010.5,2018
4.3,17000,41.5,19.3,33.9,43.9,31.4,39.2,6.7,3.8,2.3,4.8,0.0,62.8,61.934,78.131,69.713,Georgia,3952000.0,Europe and Central Asia,58.0,5.5,14253.409,-5174.0,2018
2.0,167000,15.9,15.0,22.8,15.7,24.7,10.4,5.6,3.5,2.3,4.0,0.7,57.1,75.168,82.858,79.074,Germany,81708000.0,Europe and Central Asia,80.0,8.68,53431.395,392587.0,2018
4.8,133000,52.6,29.1,42.0,53.7,21.6,52.2,2.2,2.0,1.5,2.8,0.2,27.6,66.854,74.422,70.609,Ghana,27583000.0,Africa,41.0,6.63,5125.2495,-19374.0,2018
7.9,89000,38.5,14.4,36.4,56.0,23.6,37.1,6.2,4.0,1.8,3.2,0.4,55.1,59.038,74.901,66.903,Greece,11218000.0,Europe and Central Asia,45.0,7.29,29141.174,-23600.0,2018
2.9,47000,51.0,25.8,58.1,40.9,27.4,52.1,3.8,1.5,2.5,4.8,0.0,45.2,40.11,85.235,62.298,Guatemala,16252000.0,Americas,27.0,5.6,8469.115,-56884.0,2018
7.8,94000,68.3,32.4,54.7,46.4,28.6,66.3,0.8,0.6,1.5,3.5,0.0,19.3,44.854,64.526,54.402,Guinea,12092000.0,Africa,28.0,3.14,2471.719,-9195.0,2018
7.5,13000,77.8,40.1,47.6,44.1,17.1,70.5,0.7,1.9,1.3,1.5,0.0,18.9,49.626,64.114,56.672,Guinea-Bissau,1771000.0,Africa,16.0,1.98,1851.8866,-1396.0,2018
2.6,2000,49.5,25.6,60.4,28.1,12.4,45.4,3.0,2.7,1.0,3.2,0.0,31.5,45.469,69.896,57.398,Guyana,769000.0,Americas,37.0,6.67,12374.208,30080.0,2018
5.6,59000,62.4,49.7,54.1,56.8,20.1,69.6,4.5,2.6,0.8,3.3,0.0,39.7,64.285,70.267,67.254,Haiti,10711000.0,Americas,20.0,4.91,3209.4297,-35007.0,2018
3.4,30000,55.5,26.5,58.9,36.5,32.7,55.5,2.5,1.5,2.5,3.8,0.0,37.0,51.862,84.551,68.357,Honduras,8961000.0,Americas,29.0,5.63,5561.2627,-6768.0,2018
3.7,36000,23.9,14.8,32.9,48.3,15.5,23.6,5.8,2.8,2.3,5.0,0.4,58.2,64.827,78.976,71.888,Hungary,9784000.0,Europe and Central Asia,46.0,6.63,31117.28,31976.0,2018
2.1,"<1,000",20.6,11.7,21.1,4.1,1.8,4.2,4.4,3.3,1.5,3.7,0.2,46.4,84.555,89.969,87.358,Iceland,330000.0,Europe and Central Asia,76.0,9.58,56816.566,6611.0,2018
6.1,7989000,46.2,29.8,32.4,41.1,80.0,55.5,4.2,3.2,2.3,3.2,0.0,45.7,28.339,78.327,54.221,India,1309054000.0,Asia and the Pacific,41.0,7.23,6436.1533,-561563.0,2018
4.7,1220000,43.7,38.0,35.8,53.3,32.2,50.5,4.3,3.6,2.0,4.3,0.0,50.8,55.564,84.17,70.062,Indonesia,258162000.0,Asia and the Pacific,38.0,6.39,11397.432,-39878.0,2018
4.8,174000,72.6,34.9,65.2,46.6,89.4,85.7,3.9,2.7,1.8,3.8,0.0,40.9,11.933,75.64,43.562,Iraq,36116000.0,Arab States,18.0,4.06,9995.05,6660.0,2018
1.7,8000,17.2,17.0,24.3,10.9,20.1,10.4,5.9,2.5,2.5,4.8,0.4,57.7,67.155,78.861,72.957,Ireland,4700000.0,Europe and Central Asia,73.0,9.15,83746.15,33647.0,2018
3.9,31000,35.8,19.1,27.5,48.5,38.6,36.4,5.2,3.4,1.8,4.3,0.0,52.1,70.351,76.678,73.521,Israel,8065000.0,Europe and Central Asia,61.0,7.79,40270.426,15615.0,2018
2.4,145000,31.7,14.4,45.4,31.0,19.3,28.3,5.3,4.7,2.0,5.8,0.5,62.0,56.587,75.363,65.968,Italy,59504000.0,Europe and Central Asia,52.0,7.71,42045.92,75863.0,2018
2.6,7000,39.5,24.2,62.2,47.8,15.5,44.2,4.6,4.4,3.0,4.5,0.0,58.6,62.675,75.661,69.126,Jamaica,2872000.0,Americas,44.0,7.02,10160.764,-11329.0,2018
0.3,37000,21.5,13.1,15.5,31.9,17.8,13.8,3.9,2.7,1.5,3.2,0.0,36.6,71.89,86.842,79.455,Japan,127975000.0,Asia and the Pacific,73.0,7.99,41763.82,177470.0,2018
1.8,17000,57.9,15.7,41.8,47.4,26.2,49.9,4.3,2.6,1.3,2.7,0.0,38.6,15.461,63.901,41.045,Jordan,9159000.0,Arab States,49.0,3.93,9584.507,33554.0,2018
4.2,75000,60.4,14.5,25.1,38.2,19.5,43.3,3.9,3.0,1.5,1.8,0.0,32.8,73.665,82.243,77.779,Kazakhstan,17750000.0,Europe and Central Asia,31.0,2.94,25544.346,-31760.0,2018
6.9,328000,55.1,48.7,49.6,44.5,66.8,70.6,3.2,2.3,1.5,4.2,0.0,36.5,72.189,76.689,74.421,Kenya,47236000.0,Africa,27.0,5.11,4464.813,-115434.0,2018
4.0,8000,53.1,16.0,39.3,49.7,12.0,43.8,6.0,3.1,1.5,4.2,0.0,54.8,59.592,77.553,69.035,Kosovo,1905000.0,Europe and Central Asia,37.0,5.96,10755.168,-34137.0,2018
1.5,6000,59.7,20.1,29.3,29.3,28.5,45.9,2.6,2.0,1.0,3.2,0.0,27.8,51.051,88.509,74.794,Kuwait,3936000.0,Arab States,41.0,3.85,48943.008,144967.0,2018
4.1,24000,49.6,19.7,35.4,42.6,23.2,42.8,3.0,2.9,2.3,4.3,0.0,40.9,59.592,77.553,69.035,Kyrgyzstan,5865000.0,Europe and Central Asia,29.0,5.11,5133.152,-2010.5,2018
3.9,8000,31.7,15.9,23.8,44.0,10.3,24.6,4.2,3.7,3.8,5.0,0.4,60.9,75.739,80.881,78.255,Latvia,1993000.0,Europe and Central Asia,58.0,7.38,30051.018,-8632.0,2018
1.7,10000,59.1,22.6,48.1,44.8,47.8,58.9,3.1,1.8,1.3,2.7,0.0,31.3,32.061,75.077,52.982,Lebanon,5851000.0,Arab States,28.0,4.63,17937.568,-233520.0,2018
4.2,9000,53.8,50.7,44.6,41.9,18.6,58.3,3.2,2.2,2.3,3.0,0.0,38.3,59.592,73.317,66.413,Lesotho,2175000.0,Africa,41.0,6.64,2501.43,-3234.0,2018
7.4,33000,55.0,44.0,44.1,54.9,18.2,59.3,2.5,1.6,1.3,3.5,0.0,31.7,73.582,82.073,77.776,Liberia,4500000.0,Africa,32.0,5.35,1521.7335,-23226.0,2018
7.7,48000,81.4,23.0,49.6,28.1,63.1,73.1,0.0,1.3,0.0,0.0,0.0,-2.5,36.837,64.524,50.878,Libya,6235000.0,Africa,17.0,2.19,25734.168,5835.0,2018
5.8,17000,29.2,15.4,35.6,46.3,9.7,26.2,4.2,3.8,2.8,5.5,0.4,59.1,75.876,79.1,77.468,Lithuania,2932000.0,Europe and Central Asia,59.0,7.5,35446.707,-14451.0,2018
1.5,"<1,000",17.7,13.7,24.5,12.1,14.3,8.4,4.3,2.0,2.8,3.5,0.2,45.4,68.393,75.121,71.831,Luxembourg,567000.0,Europe and Central Asia,81.0,8.81,114164.47,10096.0,2018
7.5,182000,54.4,46.8,51.0,56.8,17.3,62.0,3.5,3.2,0.8,3.5,0.0,31.8,84.58,89.177,86.88,Madagascar,24234000.0,Africa,25.0,5.22,1557.3225,485.0,2018
7.5,131000,55.4,51.5,40.9,61.5,19.1,63.4,3.0,1.4,1.8,2.3,0.0,26.8,64.456,73.339,68.716,Malawi,17574000.0,Africa,32.0,5.49,1478.4248,-3706.0,2018
6.9,212000,36.2,28.4,39.6,41.2,27.8,39.2,3.6,3.2,2.3,2.7,0.0,38.4,55.539,81.133,68.712,Malaysia,30723000.0,Asia and the Pacific,47.0,6.88,26835.807,60604.0,2018
3.6,62000,55.3,24.4,35.5,35.9,66.3,55.9,3.5,2.1,2.0,2.0,0.0,30.8,57.497,82.215,70.02,Mali,17468000.0,Africa,32.0,5.41,2185.5757,-40761.0,2018
21.4,90000,67.3,33.7,39.3,50.5,22.3,62.0,0.6,1.5,0.8,2.5,0.0,15.5,27.156,58.551,42.128,Mauritania,4182000.0,Africa,27.0,3.82,5367.2144,-2987.0,2018
1.0,1000,25.5,17.7,33.6,31.1,12.2,21.2,3.9,2.3,0.0,3.5,0.0,34.9,52.039,79.97,66.043,Mauritius,1259000.0,Africa,51.0,8.22,23018.516,-2209.0,2018
2.7,341000,47.3,23.7,59.0,37.8,68.8,57.3,4.8,3.8,2.3,4.8,0.0,52.4,47.404,82.213,64.308,Mexico,125891000.0,Americas,28.0,6.19,20789.361,-99430.0,2018
12.3,37000,40.9,36.8,35.1,47.1,18.1,43.5,2.5,2.0,1.3,3.8,0.0,30.7,55.122,69.997,62.492,Mongolia,2977000.0,Asia and the Pacific,37.0,6.5,12052.294,11426.0,2018
5.9,4000,39.4,15.0,37.4,50.9,18.3,35.8,7.1,4.2,2.3,4.3,0.0,64.0,59.717,73.994,66.815,Montenegro,628000.0,Europe and Central Asia,45.0,5.74,20686.713,-2024.0,2018
2.4,85000,60.7,18.8,38.1,35.7,22.0,48.3,0.6,3.4,1.3,5.0,0.0,36.5,23.76,73.501,48.792,Morocco,34803000.0,Africa,43.0,4.99,8072.0864,-89007.0,2018
5.4,152000,48.6,48.3,40.5,48.1,30.0,57.0,5.2,3.0,1.3,3.0,0.0,40.7,78.701,79.522,79.1,Mozambique,28011000.0,Africa,23.0,3.85,1297.8695,-12765.0,2018
11.0,575000,58.1,43.8,26.1,46.0,70.2,65.9,5.2,1.1,1.8,3.0,0.0,32.4,52.574,80.582,66.56,Myanmar,52404000.0,Asia and the Pacific,29.0,3.83,4927.2524,-114634.0,2018
3.3,8000,44.6,38.4,55.9,38.8,10.4,48.1,3.1,1.7,0.8,3.8,0.0,33.3,56.915,63.638,60.15,Namibia,2426000.0,Africa,53.0,6.25,10266.171,-8596.0,2018
6.0,171000,52.0,35.6,32.2,8.7,34.7,44.1,3.2,2.5,2.0,4.2,0.0,38.7,29.97,57.026,42.421,Nepal,28656000.0,Asia and the Pacific,31.0,5.18,3719.3079,-81130.0,2018
1.8,30000,12.8,13.6,26.0,16.0,12.2,6.1,6.5,4.3,3.0,6.5,0.7,75.2,76.318,84.748,80.558,Netherlands,16938000.0,Europe and Central Asia,82.0,8.89,56060.914,60758.0,2018
0.6,3000,12.2,18.4,16.2,7.0,7.0,1.9,4.8,2.9,1.8,6.7,0.0,57.6,77.219,86.12,81.616,New Zealand,4615000.0,Asia and the Pacific,87.0,9.26,42916.87,80419.0,2018
2.9,18000,48.2,24.5,43.3,35.3,22.8,43.9,3.1,4.2,1.0,4.7,0.0,46.3,51.215,84.563,67.572,Nicaragua,6082000.0,Americas,25.0,3.63,5636.7153,-20739.0,2018
6.7,133000,61.9,41.2,37.0,45.0,50.4,65.6,2.6,2.1,1.0,2.5,0.0,25.9,63.553,85.111,74.535,Niger,19897000.0,Africa,34.0,3.76,1193.2727,-3816.0,2018
7.7,1386000,54.1,41.3,50.2,47.1,95.5,74.1,5.3,3.2,2.0,3.3,0.0,45.8,52.826,65.334,59.136,Nigeria,181182000.0,Africa,27.0,4.44,5089.778,-81384.0,2018
1.8,9000,15.7,17.8,13.1,9.4,10.8,4.5,6.1,5.0,2.3,5.2,0.2,66.8,75.341,80.149,77.804,Norway,5200000.0,Europe and Central Asia,84.0,9.87,64696.473,18388.0,2018
2.1,9000,68.7,20.5,37.8,33.4,6.4,50.1,2.9,1.4,0.5,4.2,0.0,32.0,32.152,90.259,72.411,Oman,4200000.0,Arab States,52.0,3.04,34212.105,-51177.0,2018
16.8,3186000,56.8,36.2,45.9,55.3,92.8,74.1,1.9,0.9,0.5,2.8,0.0,18.6,22.629,82.08,52.689,Pakistan,189381000.0,Asia and the Pacific,33.0,4.17,5113.434,-1309609.0,2018
2.1,8000,44.2,21.0,42.6,33.1,9.4,36.4,2.9,3.6,1.3,5.5,0.0,43.9,57.01,81.917,69.491,Panama,3969000.0,Americas,37.0,7.05,32259.22,11130.0,2018
10.3,81000,64.8,63.3,46.2,9.5,13.3,61.9,2.4,1.8,0.3,1.8,0.0,18.9,47.95,49.507,48.753,Papua New Guinea,7920000.0,Asia and the Pacific,28.0,6.03,3865.0115,24688.0,2018
1.6,11000,38.3,21.0,64.7,32.7,22.7,40.9,2.4,3.4,1.5,5.0,0.2,40.9,62.978,87.014,75.047,Paraguay,6639000.0,Americas,29.0,6.24,13848.499,-16470.0,2018
2.6,80000,44.3,24.7,48.0,38.2,27.5,44.3,6.8,2.5,2.5,3.8,0.0,52.5,73.828,87.794,80.723,Peru,31377000.0,Americas,35.0,6.6,12696.236,326831.0,2018
7.7,784000,50.5,35.3,45.7,36.4,69.3,60.2,4.6,4.2,2.0,4.8,0.0,55.8,47.197,74.526,61.074,Philippines,101716000.0,Asia and the Pacific,36.0,6.71,8365.732,-15371.0,2018
3.4,128000,24.5,13.7,27.5,59.6,13.6,24.4,4.8,2.5,2.8,4.8,0.2,53.9,63.485,77.137,70.308,Poland,38265000.0,Europe and Central Asia,60.0,6.67,31739.258,-8736.0,2018
2.5,26000,12.2,15.6,31.7,20.7,9.7,8.5,5.6,4.2,2.8,5.8,0.2,66.3,72.376,78.111,75.145,Portugal,10418000.0,Europe and Central Asia,64.0,7.84,34040.727,10177.0,2018
1.5,4000,56.3,13.8,29.5,33.4,7.0,37.7,4.8,1.9,1.3,3.0,0.0,35.4,59.568,96.18,88.225,Qatar,2482000.0,Arab States,62.0,3.19,91461.62,11662.0,2018
4.3,86000,35.8,19.5,32.6,52.0,16.1,33.9,4.8,3.1,2.0,3.0,0.4,43.9,58.241,76.901,67.585,Romania,19877000.0,Europe and Central Asia,47.0,6.38,28736.217,-57865.0,2018
11.6,134000,56.6,40.8,40.0,55.7,34.0,61.7,3.3,2.5,1.8,3.8,0.0,33.6,56.143,68.478,62.081,Rwanda,11630000.0,Africa,56.0,3.35,2049.6235,-10794.0,2018
1.9,61000,63.2,21.9,30.1,14.2,32.2,46.3,2.9,2.6,1.5,1.8,0.0,27.9,22.92,80.021,57.697,Saudi Arabia,31557000.0,Arab States,49.0,1.93,47714.113,253245.0,2018
2.9,43000,43.9,34.8,35.6,41.0,30.9,46.2,4.5,2.6,2.3,3.8,0.0,47.1,37.846,63.7,50.344,Senegal,14977000.0,Africa,45.0,6.15,3368.8586,-19973.0,2018
3.3,30000,39.1,15.2,31.6,40.9,27.5,33.9,5.8,4.5,2.3,4.8,0.0,61.9,61.038,75.491,68.196,Serbia,8851000.0,Europe and Central Asia,39.0,6.41,17452.916,3346.0,2018
5.0,36000,50.9,46.1,41.2,48.1,18.1,55.2,4.8,2.3,2.0,3.8,0.0,46.2,52.769,57.152,54.963,Sierra Leone,7237000.0,Africa,30.0,4.66,1610.3232,-2741.0,2018
3.4,19000,30.8,16.3,5.0,18.7,9.0,13.4,3.6,1.3,1.3,3.0,0.0,32.8,68.68,83.014,76.311,Singapore,5535000.0,Asia and the Pacific,85.0,6.38,98280.04,35726.0,2018
2.9,16000,29.9,15.1,29.9,51.2,14.2,27.2,4.4,3.1,2.5,4.5,0.4,53.2,59.592,77.553,69.035,Slovakia,5439000.0,Europe and Central Asia,37.5,7.1,31313.82,-2010.5,2018
2.2,5000,22.4,16.6,30.6,45.6,6.4,20.1,5.4,3.5,2.3,5.2,0.4,59.6,71.494,77.665,74.695,Slovenia,2075000.0,Europe and Central Asia,60.0,7.5,37995.715,7559.0,2018
15.5,216000,80.6,56.8,49.6,22.7,88.4,89.5,0.7,1.2,1.0,2.5,0.0,16.0,21.839,48.3,35.024,Somalia,13908000.0,Africa,10.0,5.96,1547.9973,40844.0,2018
2.8,155000,46.7,38.3,61.0,36.9,26.9,53.8,4.8,3.7,1.8,4.0,0.0,47.4,56.455,68.242,62.202,South Africa,55291000.0,Africa,43.0,7.24,13995.0625,27265.0,2018
20.5,243000,75.7,51.1,62.9,56.1,85.7,94.7,3.9,2.7,1.8,3.8,0.0,40.9,71.762,71.516,71.642,South Sudan,11882000.0,Africa,13.0,5.96,14209.593,-297041.0,2018
2.3,105000,17.2,18.3,33.5,15.1,14.2,12.8,7.1,3.9,2.5,5.2,0.0,66.9,68.631,78.829,73.744,Spain,46398000.0,Europe and Central Asia,58.0,8.08,40276.906,339064.0,2018
2.1,44000,44.1,27.0,33.5,34.9,35.9,42.5,2.4,2.6,1.0,5.5,0.0,37.4,37.006,76.822,56.297,Sri Lanka,20714000.0,Asia and the Pacific,38.0,6.19,13753.055,-97100.0,2018
12.0,465000,80.7,46.6,42.4,37.0,87.4,87.1,0.3,1.6,1.0,2.3,0.0,14.9,29.794,69.737,49.597,Sudan,38648000.0,Africa,16.0,2.15,4349.21,74198.0,2018
2.3,1000,55.5,10.7,50.8,28.1,16.3,42.1,2.2,0.3,1.3,3.8,0.0,27.1,50.999,72.479,61.823,Suriname,553000.0,Americas,43.0,6.98,18438.348,-862.0,2018
